likes,comments
1.5m,"7,734"
1.5m,"3,690"
1.5m,25.8k
1.4m,25.1k
1.9m,36.6k
2.4m,10.2k
1.1m,24.6k
583k,11.2k
1.1m,25.5k
1.5m,26.9k
2.6m,26.8k
2.5m,60k
2.7m,54.7k
1.6m,52.3k
2.2m,37.7k
4.2m,15.3k
1.7m,17.5k
4m,24k
1.9m,28.8k
1.9m,65.7k
3.9m,28.9k
1.6m,39.2k
6.1m,73.3k
4.8m,59.6k
2.3m,60.3k
2.9m,122k
2.7m,86.7k
7m,366k
9.1m,85.7k
3.9m,32.3k
2.7m,17.2k
1.3m,21.6k
1.6m,28.4k
5.4m,21.4k
2.7m,"4,890"
3.6m,"9,317"
2.2m,"9,902"
1.6m,19.9k
993k,"7,526"
1.7m,12.5k
2.8m,"6,402"
2.4m,"4,949"
3.6m,"6,719"
5.2m,"8,417"
6.5m,42.5k
1m,"6,497"
3.3m,37.9k
2.5m,27.8k
1.3m,15.6k
2.4m,41.8k
703k,"4,179"
1.1m,13k
836k,"7,222"
2.2m,11.1k
2.7m,12.4k
4.8m,38.4k
2m,16.7k
3.6m,28.7k
5.6m,23.6k
6.5m,33.6k
1.5m,"9,402"
2.8m,"4,933"
5.1m,19.2k
1.9m,23.7k
5m,"8,448"
4.7m,27.7k
5.8m,27.8k
2.4m,"5,996"
2.5m,"4,280"
2m,16.1k
6.5m,27.3k
2.3m,"7,748"
3m,40.9k
2m,11.3k
5m,18.3k
1.5m,"9,514"
715k,"6,450"
487k,"4,714"
1.9m,34.7k
819k,"6,078"
3.5m,11.7k
711k,"6,155"
1.3m,36.9k
1.4m,"7,982"
1.8m,20k
4.9m,14.4k
844k,11.4k
6.6m,"8,828"
6.5m,73.4k
2.4m,17k
1.4m,"7,535"
1.7m,"4,173"
4.4m,"9,758"
1.3m,"3,333"
1.9m,"3,317"
1.2m,"3,180"
1.2m,"3,782"
1.6m,"3,390"
1.1m,"5,189"
1.8m,"2,484"
2.5m,"3,045"
953k,"2,593"
3.1m,"4,483"
2.5m,"1,933"
1m,"3,248"
1.1m,"3,956"
3.1m,"3,055"
2.1m,"3,909"
1m,"3,265"
817k,"2,872"
1.4m,"3,401"
1.2m,"2,676"
1.8m,"5,562"
1.8m,"5,372"
2m,"6,310"
1.6m,"5,658"
1.9m,15.2k
1.2m,10.8k
1.7m,"3,965"
2.3m,"6,325"
1.8m,10k
719k,"3,672"
3.1m,"6,718"
1.8m,10.4k
2m,17.6k
3m,"5,471"
2.6m,"5,240"
1.4m,"6,864"
1.8m,10.2k
2.6m,"5,705"
1.3m,"4,980"
705k,"3,708"
1.3m,"2,671"
754k,"3,569"
1.7m,12k
1.4m,"5,045"
480k,"1,827"
1.4m,"3,989"
3.5m,"4,585"
2m,"4,393"
3.5m,17.9k
6.4m,16.7k
1.9m,11.5k
3.5m,"4,475"
2.3m,"5,344"
1.2m,"3,366"
4m,"3,355"
5.4m,20.7k
1.2m,"5,844"
1.2m,"3,334"
509k,"1,971"
854k,"3,966"
2.4m,17.8k
888k,"3,549"
1.9m,"4,403"
1.7m,"2,675"
898k,"3,889"
2.1m,"5,770"
773k,"3,338"
,0
,0
,0
,0
,0
0,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
1.9m,17.1k
2.4m,"4,859"
6.8m,45.7k
1.8m,17k
4.6m,11.1k
7.4m,13.2k
2.7m,"7,589"
3.3m,"7,846"
3.7m,"5,833"
2m,25.6k
5.1m,12.9k
4.4m,"8,319"
4.3m,"5,517"
1.5m,12.6k
4.1m,"8,903"
4.3m,11.6k
1.5m,14k
6.3m,"6,814"
6.3m,"8,183"
5.4m,"6,737"
5m,12.6k
5.6m,"9,712"
6.7m,"9,437"
6.7m,49.8k
1.9m,28.1k
6.5m,11.4k
6.1m,13.8k
5.9m,"7,067"
8.8m,12.8k
1.9m,13k
1.2m,"7,805"
1m,"5,273"
804k,"3,342"
1.3m,11.8k
1.1m,"6,075"
1.6m,"9,761"
719k,"4,359"
3.2m,"9,595"
5.6m,27.7k
1.5m,11.7k
735k,"3,013"
898k,"6,990"
1.2m,"3,280"
2.2m,23.1k
1.1m,"5,743"
1.3m,"4,930"
680k,"4,160"
1.2m,11.9k
3.1m,"3,951"
693k,"4,330"
1.2m,"5,815"
