likes,comments
5.4m,38.9k
8.1m,18.1k
4.5m,14.3k
3.6m,10.9k
9.6m,67.3k
16m,141k
3.4m,16.9k
13.4m,135k
3.3m,21.7k
10.3m,89.6k
9.3m,12.6k
12.7m,25.9k
1.9m,"7,787"
8.3m,35.1k
3.5m,17k
4.3m,16k
4.2m,19.8k
3.8m,10.9k
5.8m,22.7k
3.8m,19.1k
11.8m,28.8k
7.6m,58.2k
7.5m,41.8k
19.4m,65.4k
8.5m,69.5k
15.2m,12.8k
15.6m,26.8k
6.6m,10.8k
6.7m,61.7k
8m,36.5k
6.6m,10.8k
6.7m,61.7k
8m,36.5k
3.9m,48.2k
4.5m,26.9k
4.7m,143k
10.6m,51.5k
11.9m,23.7k
7.6m,66.8k
5.8m,45k
19.6m,72.2k
6.4m,150k
5.8m,45k
19.6m,72.2k
6.4m,150k
4.1m,65.9k
14.1m,33.8k
7.3m,53.4k
7.3m,23k
22.1m,51.5k
1.5m,14k
3.7m,"4,792"
1m,"5,100"
2.4m,"3,433"
1.2m,"4,802"
4.2m,"4,633"
1.5m,"2,198"
1.7m,"2,364"
1.5m,"5,564"
2.5m,"2,792"
1.3m,"4,372"
893k,"3,263"
1.1m,"3,169"
1.3m,"4,372"
893k,"3,263"
1.1m,"3,169"
1.1m,"4,162"
1.9m,"2,521"
1.1m,"3,677"
1m,"3,975"
1.3m,"3,870"
1.4m,"5,328"
1.3m,"4,297"
3.1m,"3,352"
2m,"5,819"
2.6m,"4,629"
1.9m,"8,066"
3m,17.8k
2.6m,28.7k
9.5m,83.4k
4.1m,25.7k
8.2m,62.9k
4m,36k
9.2m,110k
8.2m,62.9k
4m,36k
9.2m,110k
9.7m,16.8k
7.1m,67k
13.5m,39.8k
9.8m,22k
7.5m,20.2k
13.1m,29.5k
11m,26.5k
3.2m,28.3k
7.5m,41.7k
9.8m,25.7k
13.8m,28.7k
5.1m,17.7k
5.7m,40.9k
4.9m,34.5k
2.6m,13.3k
27.7m,57.1k
5.3m,26.5k
5.2m,43.1k
27.7m,57.1k
5.3m,26.5k
5.2m,43.1k
5.2m,26.6k
7.3m,10.4k
7.2m,52.4k
6.5m,35.8k
3.4m,13.2k
5.2m,21.3k
8.3m,23.8k
4.7m,26.9k
7.5m,27k
6.5m,35.5k
3.5m,43.9k
5.9m,35.4k
5.6m,54k
11.3m,18.8k
4.1m,18.9k
9.8m,43.9k
8.8m,51k
11.3m,33k
9.8m,43.9k
8.8m,51k
11.3m,33k
5.4m,48.9k
4.1m,22.3k
3.9m,18.5k
3.6m,16.8k
3.2m,15.5k
5m,24.2k
4.3m,22k
6.9m,32.3k
4.8m,24.7k
6.2m,48.7k
6m,32k
4.2m,17.6k
8.7m,22.7k
13.7m,44.7k
11.3m,120k
6.7m,28.4k
12.7m,43.2k
13.4m,31.8k
6.7m,28.4k
12.7m,43.2k
13.4m,31.8k
3.2m,"7,125"
5.7m,25k
9.4m,50.8k
5m,22.6k
5.7m,23.2k
1.5m,"8,867"
8.2m,35.2k
7.8m,58.4k
3.8m,53.5k
5.6m,16.2k
5.1m,13.2k
6.1m,29.2k
8.8m,14.7k
3.4m,11.6k
8.4m,23k
5.1m,20.5k
7.1m,36.9k
26.7m,95.1k
23.8m,127k
12m,32.5k
6.7m,39.2k
23.8m,127k
12m,32.5k
6.7m,39.2k
8.8m,33.2k
6.3m,15.7k
6.9m,42.3k
8.6m,55.4k
4.7m,12.5k
5.6m,68.3k
8.6m,70.2k
8.7m,23.6k
4.9m,46.2k
9.7m,68.3k
9m,97.7k
6.2m,17.9k
6.1m,29.6k
4.8m,10.4k
5m,11.4k
3m,15.4k
6.2m,37.1k
4.2m,20.3k
3m,15.4k
6.2m,37.1k
4.2m,20.3k
7.4m,20.3k
2.4m,20.7k
8.8m,40.9k
7.2m,51.6k
5.3m,27.3k
4.1m,27.3k
21m,53k
10.8m,30k
5.2m,32k
9.5m,70.9k
24.8m,35k
14.4m,254k
10.6m,142k
6.3m,100k
6.4m,59.7k
5.3m,40.6k
21.2m,43.4k
4m,38.5k
5.3m,40.6k
21.2m,43.4k
4m,38.5k
3.2m,64.5k
8m,75.9k
5.7m,37.3k
10.1m,108k
5.6m,31.5k
6m,60k
12.1m,165k
3.8m,22.8k
10.9m,13.6k
5.5m,24.6k
6.9m,67k
12.2m,187k
24.4m,39.2k
15.4m,35.6k
4.5m,43.7k
6.2m,72.7k
6.3m,78.2k
5.8m,45.1k
6.2m,72.7k
6.3m,78.2k
5.8m,45.1k
4.1m,34.3k
9.8m,30.1k
9.2m,93.1k
6.2m,66.3k
14.4m,139k
10.2m,92.3k
7.7m,82.3k
8.9m,172k
9.8m,430k
21.2m,62k
6m,85.5k
8.9m,79.1k
3.4m,15.4k
5.7m,45k
9.2m,63.6k
2.7m,14.5k
9.2m,26.3k
7.6m,76.3k
2.7m,14.5k
9.2m,26.3k
7.6m,76.3k
5m,42.2k
7.9m,52.8k
4.9m,25.1k
4m,15.5k
10m,126k
5.1m,31.7k
2.9m,19.8k
6.3m,62.3k
6.1m,43k
8m,69.5k
10.2m,159k
5.1m,103k
5.3m,42.4k
2.5m,13.2k
7.4m,75.7k
7.3m,59.2k
21.7m,100k
24m,37.2k
7.3m,59.2k
21.7m,100k
24m,37.2k
29.9m,40.5k
3.8m,27.1k
3.6m,29.5k
5.2m,26.5k
3.3m,17.4k
6.8m,43.3k
4.1m,26.1k
7.6m,51.1k
7m,87.5k
15.1m,44.9k
10.6m,52.8k
15.7m,0
3.7m,57.3k
7.3m,73.8k
4.7m,54.6k
5.5m,65.7k
5.7m,48.8k
28m,40.6k
5.5m,65.7k
5.7m,48.8k
28m,40.6k
4m,28.8k
3.5m,20k
7.3m,167k
5.3m,55.1k
4.7m,38.4k
2.9m,0
3.3m,0
6.3m,0
6m,77.5k
1.9m,49.9k
16.9m,62.8k
3m,49.7k
8.6m,159k
5.1m,44.6k
7.5m,55.4k
8.5m,201k
5.5m,83.1k
1.4m,30.4k
8.5m,201k
5.5m,83.1k
1.4m,30.4k
39.6m,126k
5.7m,61k
4.6m,52.1k
6.3m,52.3k
4.7m,81.5k
4.1m,39.3k
6.3m,43.4k
4m,36.5k
7m,87.1k
7.8m,80.6k
3.6m,16.5k
4.5m,25.3k
1.7m,11.6k
1.7m,"7,337"
2.4m,15.3k
5.5m,42.2k
3.6m,15.8k
4.6m,24.4k
3.2m,14.8k
2.5m,"8,926"
3.9m,16.2k
3.2m,14.8k
