likes,comments
1.2m,"7,408"
1.4m,"2,708"
5m,"5,463"
130k,"5,336"
1.9m,"3,369"
1.1m,"7,784"
515k,"1,622"
1.8m,"8,236"
5.2m,32.8k
799k,"8,417"
873k,"3,903"
4m,"7,562"
887k,10.6k
140k,"7,620"
301k,"3,976"
3.5m,"9,371"
586k,932
1.7m,10k
570k,"1,337"
717k,19.2k
1.6m,12k
1.7m,"7,781"
633k,"5,041"
1.5m,"3,888"
1.2m,"7,503"
8.3m,20.1k
1.1m,"2,338"
5.5m,44k
897k,"6,246"
1.4m,"1,683"
5.5m,44k
897k,"6,246"
1.4m,"1,683"
4.2m,"7,042"
2.4m,11.4k
3.8m,25.9k
917k,"4,020"
2.6m,13.2k
5.4m,"4,557"
1.3m,"8,191"
1.5m,15.2k
154k,"1,172"
2.6m,"4,032"
698k,"7,741"
2.1m,"2,946"
2.6m,"4,032"
698k,"7,741"
2.1m,"2,946"
560k,"4,009"
1.3m,"9,284"
4.1m,"5,241"
1.2m,"5,233"
1.4m,"8,399"
848k,"5,495"
1.4m,"7,830"
554k,"2,331"
1.1m,"6,306"
649k,"2,123"
1.7m,"3,782"
899k,"5,567"
128k,"1,230"
9.4m,14.1k
1m,15.7k
604k,"4,635"
1.3m,"5,768"
1.4m,"2,578"
604k,"4,635"
1.3m,"5,768"
1.4m,"2,578"
195k,"1,747"
2.9m,"8,775"
870k,"4,312"
1.1m,"3,219"
626k,"4,646"
839k,"1,555"
1m,"9,602"
7.8m,20.4k
10.3m,12.4k
1.8m,"3,263"
390k,"2,377"
1.5m,11.8k
1.9m,"3,634"
892k,"5,661"
1.9m,"4,104"
1.5m,"8,229"
523k,"1,917"
1.2m,"1,553"
1.1m,"3,351"
11.9m,11.2k
857k,13.8k
1.1m,"3,351"
11.9m,11.2k
857k,13.8k
985k,"9,059"
1.4m,"2,529"
1.9m,14.1k
2.1m,16.2k
435k,16.8k
2.7m,"4,846"
810k,"7,871"
3.6m,11.4k
3.7m,"5,487"
655k,"2,962"
3.3m,"3,457"
1m,"5,022"
5.8m,14.2k
3m,"4,753"
306k,"2,246"
1.5m,"8,598"
563k,"3,054"
8.7m,11.5k
1.5m,"8,598"
563k,"3,054"
8.7m,11.5k
1.2m,"1,150"
4.6m,"6,318"
7.5m,19.8k
1.5m,"5,059"
1.4m,"7,437"
2m,14.6k
9.6m,"3,277"
2.5m,10.2k
11.5m,18k
9.7m,"6,948"
1.9m,"5,877"
3.7m,"5,234"
3.5m,"2,748"
10.9m,11.1k
6.8m,"4,424"
12.9m,20.4k
4.2m,"3,505"
1.6m,"6,788"
12.9m,20.4k
4.2m,"3,505"
1.6m,"6,788"
2.2m,11.6k
2.9m,15.4k
5.7m,83.7k
2.5m,12k
4.4m,33.7k
5.4m,79k
2.5m,42.9k
2.5m,19.6k
1.9m,15.6k
11.1m,10.2k
1m,"4,806"
1.8m,778
6.2m,"1,952"
425k,"1,616"
2.3m,14.9k
2.9m,19.2k
5.3m,"3,137"
906k,"4,531"
2.9m,19.2k
5.3m,"3,137"
906k,"4,531"
230k,"1,297"
6.2m,"2,318"
3m,"2,663"
684k,"2,987"
808k,"3,993"
4.9m,"3,200"
1m,"3,582"
6.6m,"1,988"
310k,"2,017"
387k,"2,664"
3.3m,"4,256"
1.5m,"1,246"
170k,"1,282"
7.7m,14.9k
790k,"1,110"
8m,"6,558"
2.4m,"2,203"
462k,"2,296"
8m,"6,558"
2.4m,"2,203"
462k,"2,296"
1.4m,"2,327"
3.6m,"8,420"
1.9m,13k
908k,20.8k
198k,"2,166"
846k,"4,716"
3.9m,"3,021"
470k,"1,854"
1.8m,"2,423"
1.8m,"1,478"
1m,"8,450"
1.1m,"8,661"
446k,"3,268"
2.3m,"2,165"
213k,"1,007"
389k,"4,304"
3.3m,"5,892"
588k,"1,970"
389k,"4,304"
3.3m,"5,892"
588k,"1,970"
690k,"3,091"
5m,"4,871"
3m,"1,791"
2.2m,"1,460"
1.1m,"1,188"
832k,"7,947"
282k,"1,625"
403k,"1,909"
500k,"1,856"
1m,"4,736"
100k,485
1.7m,895
711k,"1,097"
1.5m,"2,073"
1.4m,"2,209"
423k,"1,641"
962k,"1,098"
562k,"5,704"
423k,"1,641"
962k,"1,098"
562k,"5,704"
214k,"1,526"
378k,"3,415"
3m,"4,002"
638k,"3,500"
1m,"6,271"
836k,"4,916"
202k,"1,334"
1.3m,"2,016"
869k,"6,625"
1m,"6,915"
1.7m,"2,004"
211k,"1,283"
108k,911
1.6m,"2,499"
4.2m,"3,720"
2.6m,"2,139"
131k,"1,426"
610k,"1,260"
2.6m,"2,139"
131k,"1,426"
610k,"1,260"
1.7m,"2,915"
113k,"1,009"
1.2m,"2,159"
1.2m,"9,934"
445k,"2,482"
1.9m,"6,066"
481k,"3,021"
191k,"1,946"
1.3m,"4,300"
2m,"4,421"
690k,"8,567"
1.7m,"3,187"
2m,"4,773"
1.7m,14.1k
3.6m,"6,609"
1.5m,"3,431"
899k,"5,087"
831k,"3,499"
3.5m,11.8k
542k,562
1.8m,"2,579"
3.5m,11.8k
542k,562
1.8m,"2,579"
108k,750
1m,"3,920"
211k,"1,248"
4.8m,"9,406"
320k,"3,417"
1.2m,21.3k
897k,"5,908"
578k,"3,272"
303k,"2,817"
1.6m,"3,436"
903k,"6,431"
1m,852
3.9m,10k
737k,"1,188"
1.1m,"7,696"
1.7m,"7,072"
230k,"1,229"
911k,"4,463"
1.7m,"7,072"
230k,"1,229"
911k,"4,463"
3m,"4,998"
1.4m,"2,119"
1.7m,"1,449"
2.7m,"4,458"
537k,"1,852"
1.7m,"7,689"
2m,"8,374"
228k,828
202k,"1,064"
312k,"4,185"
881k,"9,482"
982k,10.7k
614k,"3,549"
749k,"3,043"
576k,"4,232"
1.6m,"2,755"
423k,"2,155"
543k,"2,510"
1.6m,"2,755"
423k,"2,155"
543k,"2,510"
192k,903
383k,"2,546"
1m,12.6k
