likes,comments
,0
,0
,0
1.5m,"6,750"
874k,"3,387"
2.8m,23.3k
1.2m,"8,637"
2.1m,20.2k
1.5m,"3,018"
6.3m,48.4k
2.3m,12.7k
2.2m,30.1k
2.6m,14.6k
1.1m,10.2k
1.9m,11.8k
1.1m,"3,571"
3.9m,30k
6.6m,31.6k
1.5m,17.9k
1.4m,"5,811"
2m,10.5k
1.8m,12.9k
8.7m,93.7k
1.3m,"5,499"
2.2m,10.2k
2.7m,13.9k
2.3m,14.3k
3m,17.8k
5.6m,26k
2.9m,20.1k
1.4m,"5,411"
2.3m,43.9k
2.2m,17.7k
2.6m,"6,245"
1.6m,"4,092"
3.2m,18.8k
2.6m,"6,245"
1.6m,"4,092"
3.2m,18.8k
3.8m,31.6k
2.1m,10.5k
2.5m,14.1k
1.6m,17.7k
1.6m,13.6k
5.5m,12.1k
1.9m,"8,290"
2.9m,"9,941"
3.1m,15.3k
810k,"4,969"
1.2m,"4,926"
3.1m,36.2k
4m,38.3k
2.8m,13.2k
3.3m,35.3k
3.5m,38.2k
3.1m,39.3k
3.4m,42.2k
3.5m,38.2k
3.1m,39.3k
3.4m,42.2k
2.7m,31.3k
1.4m,14.1k
3.1m,33.2k
3.8m,37k
3.4m,33.6k
5.1m,43.4k
6.2m,57.3k
5.9m,20.6k
1.1m,"7,131"
974k,"8,466"
10.5m,50.2k
5.8m,61.7k
3.7m,30.5k
4.2m,42.5k
4.1m,21.6k
6.3m,35.7k
2.5m,31.2k
3m,25.9k
6.3m,35.7k
2.5m,31.2k
3m,25.9k
3.9m,11.6k
3.7m,26.8k
3.9m,17.4k
2.3m,11.7k
1.7m,13.8k
2.3m,15.5k
2.4m,13.2k
3.8m,34.5k
2.3m,27.2k
8m,33.8k
4.3m,29.5k
7m,30k
3.2m,18.2k
2.2m,13.1k
2.3m,16.6k
2.9m,33k
3.6m,21.5k
3.1m,19.2k
2.9m,33k
3.6m,21.5k
3.1m,19.2k
2.4m,"7,629"
5.1m,29.9k
2.2m,11.3k
5.1m,32.6k
5.4m,32.8k
3.8m,22.8k
2.8m,15.3k
3.1m,"7,870"
3.9m,23.7k
3m,15.4k
3.3m,15.9k
2.3m,11.7k
3.4m,16.2k
7.8m,59.2k
8.6m,89.4k
3m,15k
3.5m,16.8k
6.7m,21.3k
3.2m,21.9k
4.5m,33.2k
4.2m,39.5k
3.2m,21.9k
4.5m,33.2k
4.2m,39.5k
4.4m,17.5k
3.7m,18k
3.9m,25.7k
2.9m,"9,044"
2.3m,12.1k
3.8m,23k
1.5m,"7,933"
1.9m,10.4k
6.7m,90.3k
5.6m,37.7k
1.9m,"5,773"
3.3m,17.6k
5.2m,15.4k
39.1m,523k
5.1m,18.5k
3m,22.4k
4.1m,12.1k
7.1m,79.9k
3m,22.4k
4.1m,12.1k
7.1m,79.9k
5.7m,19.7k
3.3m,20.3k
3.4m,15.5k
4.6m,24.5k
4.3m,28.9k
3.9m,26.2k
3.8m,25.6k
3.6m,25.2k
4.8m,38.9k
7.6m,74.3k
5m,48.9k
7.1m,23.8k
4.6m,24.1k
4.2m,13.7k
4.1m,34.7k
10.1m,32.6k
3.4m,20k
2.7m,13.6k
10.1m,32.6k
3.4m,20k
2.7m,13.6k
4.6m,30.1k
6.7m,29.4k
3.8m,25.1k
4.2m,32.9k
1.6m,"9,398"
3.6m,20.5k
5.3m,16.9k
3.7m,20.8k
4.4m,31k
2.9m,14.9k
5.8m,17.5k
2.7m,14.9k
3.7m,19.9k
6.5m,63.8k
3.7m,32.1k
4.8m,52.2k
2.8m,17.8k
6.3m,35.6k
4.8m,52.2k
2.8m,17.8k
6.3m,35.6k
14.4m,27.1k
10.5m,11.7k
4.4m,66.5k
6.2m,70.9k
5m,31.8k
6.5m,51.6k
7.2m,136k
16.6m,65.7k
5.8m,28.5k
4.1m,53.8k
8.4m,108k
2.4m,20.8k
2.4m,21.1k
2.8m,22.9k
3.2m,39.3k
2.9m,23.2k
4.8m,82.3k
2.7m,"9,704"
2.9m,23.2k
4.8m,82.3k
2.7m,"9,704"
3.3m,34k
3.6m,54.5k
7.1m,243k
1.7m,"6,445"
2.6m,27.1k
3.4m,32.3k
1.6m,10.4k
4.8m,29.5k
3.4m,37.1k
2.7m,22.4k
4.4m,46k
1.9m,37.1k
2.8m,34.9k
2.6m,24.4k
