likes,comments
935,10
"5,196",61
"6,536",27
"3,800",58
"3,322",36
"1,223",9
"5,090",102
813,0
778,0
"4,693",64
"2,678",45
"5,624",92
"4,801",133
"4,596",77
"4,095",40
"4,860",0
"3,842",74
"5,873",98
"5,683",86
"7,057",126
"3,412",0
11.8k,8
"4,275",59
"3,171",28
"7,102",113
"6,107",77
"5,896",92
"6,242",87
"6,458",123
"1,980",0
"3,530",55
"6,079",86
"4,817",92
"4,858",92
"4,289",46
"8,047",105
"6,414",79
19.4k,22
"9,556",149
15.6k,45
"7,125",95
"6,049",104
"9,998",164
"5,737",58
"3,767",51
"3,579",25
"4,250",36
"4,761",42
"5,257",54
"7,325",137
10.6k,127
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
"5,942",81
11.5k,120
"7,122",99
10.8k,116
22.8k,125
11.4k,126
14.7k,153
10.5k,136
"5,953",96
"8,387",87
"8,778",106
"9,686",92
11.7k,175
"9,506",103
"8,590",93
"4,637",35
23.4k,240
"6,543",77
"9,544",105
"4,837",55
"5,964",49
"7,082",80
"4,969",119
"8,088",84
"7,255",96
"9,324",217
12.4k,436
16.7k,"1,567"
14.2k,154
"6,142",113
13.6k,228
"8,371",149
"7,035",94
"8,619",124
10k,124
"5,351",73
"7,300",109
12.3k,172
"6,546",129
"7,263",111
11.5k,259
"4,131",31
"8,353",98
"7,868",90
"8,852",140
"7,360",166
"7,520",147
"7,920",102
"6,977",54
"7,963",0
"9,016",0
13.2k,0
13.6k,0
10.6k,285
11.1k,174
13.6k,156
10.7k,150
10.3k,134
"9,514",119
14.1k,285
"9,464",144
12k,153
10k,144
14.2k,382
11.9k,230
22.7k,289
15.1k,217
10.3k,141
10.3k,203
"9,332",105
"9,619",153
19.4k,265
12.5k,171
15.7k,219
"6,672",86
14.6k,191
13.4k,206
24.9k,242
"8,717",149
12.2k,143
12.3k,237
24.1k,359
12.4k,198
"9,326",121
13.6k,197
10k,166
17.1k,249
16.1k,248
17.2k,266
11.4k,132
11k,101
"8,393",113
13k,287
"8,404",138
14.4k,229
"5,767",58
11k,206
13.2k,206
14.4k,229
22.9k,307
23.1k,270
13k,245
17.7k,362
"9,306",129
10k,132
35.2k,525
"9,054",124
16.2k,227
17.4k,265
"7,801",76
"9,882",74
26.6k,271
11.3k,159
17k,232
12.3k,185
13.3k,182
12.7k,221
22.9k,353
18.1k,300
101k,162
28.6k,504
15.4k,213
16.3k,270
14.7k,231
16k,232
12.8k,159
12.3k,188
"7,618",92
19.9k,297
13k,150
16.6k,395
13.1k,175
14.9k,557
"8,690",123
"9,556",115
"8,857",97
13k,203
"7,267",83
"8,717",164
"7,346",93
"9,200",206
"2,943",16
12.3k,188
10.3k,140
"9,410",129
42.2k,137
11.4k,154
11.6k,210
"6,910",72
12k,193
19.5k,79
10.6k,177
23k,512
"8,063",127
"9,165",106
10.8k,168
13.1k,191
13.9k,313
10.1k,200
"9,287",103
"3,126",37
"7,849",96
"4,354",29
11.2k,251
11.9k,205
15.4k,265
"8,581",86
"8,734",109
10.1k,142
"8,532",121
13.1k,172
"8,495",123
15.3k,240
12.9k,38
"7,049",129
13.4k,211
"8,349",105
"9,459",149
21.6k,63
"7,481",89
"4,881",39
14.2k,131
12.4k,143
"9,981",149
12.1k,229
"9,782",194
"9,005",107
"8,017",92
11.7k,142
12.1k,180
13.6k,379
"8,523",114
10k,117
12.5k,150
"8,149",127
"8,164",65
12.2k,175
18.5k,314
10.5k,159
"7,580",104
