likes,comments
554k,614
147k,631
316k,"1,107"
80k,528
413k,549
262k,"1,033"
166k,193
75.7k,567
143k,519
253k,404
324k,492
491k,605
176k,777
150k,309
205k,912
167k,531
207k,907
207k,"1,121"
208k,776
390k,422
153k,323
165k,"1,083"
359k,372
183k,855
178k,946
154k,588
194k,387
323k,"1,614"
165k,615
190k,313
323k,"1,614"
165k,615
190k,313
1m,"1,123"
170k,672
223k,"1,157"
687k,485
220k,"1,015"
400k,"2,236"
132k,586
227k,"1,010"
376k,"1,941"
132k,586
227k,"1,010"
376k,"1,941"
295k,604
202k,421
190k,"1,074"
201k,"1,218"
577k,935
260k,583
249k,0
548k,"1,327"
141k,661
195k,386
246k,351
184k,"1,064"
112k,484
161k,213
204k,651
135k,553
173k,725
392k,0
135k,553
173k,725
392k,0
158k,320
180k,926
865k,734
161k,651
430k,"1,926"
222k,906
137k,625
296k,"1,184"
238k,910
263k,"1,194"
249k,"1,170"
341k,"1,795"
129k,590
261k,"1,526"
687k,"1,348"
373k,455
338k,724
171k,904
171k,385
186k,"1,055"
120k,473
171k,385
186k,"1,055"
120k,473
378k,699
106k,465
230k,554
231k,443
260k,"1,265"
179k,713
253k,975
131k,477
154k,579
63.6k,198
169k,664
81.6k,149
103k,172
142k,435
59.9k,143
71.1k,134
84.8k,227
64.1k,143
71.1k,134
84.8k,227
64.1k,143
327k,"1,169"
140k,500
166k,745
236k,"1,007"
186k,915
439k,"1,557"
206k,916
375k,483
201k,844
365k,607
167k,985
296k,"1,904"
262k,"1,040"
141k,534
155k,386
219k,"1,026"
66.2k,0
63.8k,0
219k,"1,026"
66.2k,0
63.8k,0
156k,540
292k,656
146k,353
242k,701
141k,313
245k,351
322k,"1,243"
300k,"1,507"
325k,"1,568"
259k,374
122k,145
297k,"1,252"
378k,"1,072"
142k,308
380k,"1,737"
227k,832
537k,363
177k,639
227k,832
537k,363
177k,639
162k,376
155k,556
47.1k,172
186k,947
161k,464
78.7k,444
186k,285
201k,430
215k,"1,182"
1.9m,"1,774"
253k,991
117k,449
236k,386
487k,820
167k,320
72.2k,0
193k,"1,273"
272k,"1,177"
72.2k,0
193k,"1,273"
272k,"1,177"
304k,209
169k,493
128k,246
333k,266
660k,859
241k,"1,218"
1.4m,"2,788"
74.1k,308
418k,553
1m,643
269k,"1,101"
256k,335
262k,590
69k,239
205k,926
235k,999
149k,636
173k,763
235k,999
149k,636
173k,763
208k,360
341k,228
143k,375
246k,642
63.4k,174
842k,644
230k,464
223k,"1,018"
53.4k,275
274k,"1,346"
275k,"1,033"
89.1k,309
309k,"1,575"
324k,323
189k,526
162k,160
873k,668
262k,232
162k,160
873k,668
262k,232
153k,408
452k,"2,653"
248k,450
400k,510
746k,690
119k,538
122k,429
88.3k,349
115k,422
169k,731
227k,302
419k,277
267k,"1,330"
302k,274
300k,"1,212"
950k,890
632k,"1,254"
459k,822
950k,890
632k,"1,254"
459k,822
352k,277
332k,"1,430"
120k,246
318k,178
213k,927
47.3k,194
150k,665
630k,"1,311"
50.8k,188
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
1.3m,"1,291"
287k,"1,102"
39.9k,293
,0
50.8k,188
601k,627
218k,194
1.8m,"2,373"
83.6k,277
75.1k,311
161k,227
156k,474
343k,"1,044"
193k,469
166k,443
226k,267
387k,"2,151"
239k,738
218k,637
112k,105
115k,409
103k,218
149k,464
125k,355
150k,372
183k,442
120k,291
105k,358
154k,482
109k,274
129k,334
128k,343
118k,316
68.1k,182
190k,185
118k,316
68.1k,182
190k,185
136k,166
169k,316
201k,552
259k,599
298k,662
192k,396
147k,386
226k,809
429k,"1,035"
152k,171
192k,747
289k,947
613k,"1,517"
635k,"1,876"
192k,556
174k,456
113k,263
134k,396
174k,456
113k,263
134k,396
214k,684
1.5m,"1,337"
247k,950
184k,182
135k,"1,126"
98.7k,292
152k,402
99.5k,263
85.9k,169
141k,307
124k,301
140k,270
92.9k,159
87.8k,178
101k,210
142k,305
174k,421
425k,"1,469"
142k,305
174k,421
425k,"1,469"
256k,992
245k,816
196k,658
143k,356
115k,279
233k,366
251k,599
65.8k,121
419k,"1,262"
204k,660
168k,445
300k,899
277k,622
150k,303
187k,364
230k,541
120k,352
275k,788
230k,541
120k,352
275k,788
153k,414
120k,293
202k,537
603k,577
369k,"1,030"
647k,537
288k,"1,180"
216k,736
426k,310
139k,344
222k,349
281k,"1,229"
265k,"1,001"
116k,310
177k,514
240k,675
180k,715
186k,431
108k,254
126k,181
162k,623
108k,254
126k,181
162k,623
282k,761
89.7k,140
173k,373
114k,326
312k,293
226k,464
161k,422
164k,389
262k,716
491k,349
223k,589
139k,319
101k,320
291k,281
365k,"1,076"
201k,598
154k,468
287k,885
201k,598
154k,468
287k,885
153k,318
204k,612
186k,190
133k,213
199k,702
196k,831
286k,"1,189"
217k,623
364k,"1,294"
362k,320
235k,836
182k,658
187k,539
153k,613
170k,501
380k,888
639k,"3,443"
165k,719
380k,888
639k,"3,443"
165k,719
56.8k,131
95k,204
477k,"1,009"
519k,"1,383"
156k,446
328k,"1,120"
111k,312
244k,939
239k,864
184k,578
147k,465
164k,610
537k,510
873k,434
151k,456
193k,601
187k,628
574k,653
193k,601
187k,628
574k,653
165k,671
150k,319
236k,230
166k,643
180k,631
197k,757
222k,604
188k,698
182k,503
137k,556
239k,566
179k,550
96.3k,259
210k,484
460k,"1,751"
126k,334
121k,294
525k,427
126k,334
121k,294
525k,427
151k,346
194k,835
305k,"1,012"
142k,421
162k,444
1.1m,"1,111"
135k,327
167k,331
195k,768
185k,781
199k,807
209k,911
329k,"1,198"
127k,351
104k,357
343k,"1,100"
788k,601
167k,645
343k,"1,100"
788k,601
167k,645
213k,855
91.1k,241
122k,448
155k,634
325k,"1,005"
175k,695
196k,843
101k,400
120k,340
126k,293
198k,720
198k,960
492k,"2,419"
312k,"1,326"
195k,246
254k,"1,158"
103k,150
248k,"1,045"
254k,"1,158"
103k,150
248k,"1,045"
284k,"1,013"
239k,696
103k,166
39.5k,136
98.8k,630
282k,670
78.8k,221
110k,245
116k,347
259k,528
1.6m,983
107k,206
466k,"2,409"
741k,330
101k,241
69.3k,216
478k,"1,782"
160k,366
69.3k,216
478k,"1,782"
160k,366
126k,435
308k,828
185k,787
729k,"1,505"
538k,334
147k,328
154k,418
149k,324
372k,"1,669"
122k,244
149k,401
131k,889
54k,490
174k,198
266k,"1,079"
347k,"1,474"
120k,193
256k,"1,126"
348k,"2,939"
203k,625
340k,"1,431"
348k,"2,939"
203k,625
340k,"1,431"
337k,"1,335"
63.1k,162
283k,"1,326"
291k,"1,306"
184k,737
110k,377
231k,829
166k,399
146k,606
123k,511
182k,583
299k,"1,385"
187k,865
193k,779
82k,199
611k,"2,540"
401k,"1,569"
126k,187
611k,"2,540"
401k,"1,569"
126k,187
312k,162
87.9k,283
123k,509
137k,822
402k,"1,581"
211k,772
433k,"1,650"
168k,575
76.7k,246
199k,661
150k,478
243k,"1,131"
183k,734
272k,888
188k,831
220k,717
266k,650
162k,622
220k,717
266k,650
162k,622
262k,"1,263"
95.8k,337
162k,524
301k,908
71.6k,207
179k,486
122k,334
105k,298
75.2k,190
204k,762
103k,355
344k,"1,268"
237k,812
283k,"1,168"
327k,941
130k,447
108k,319
215k,455
130k,447
108k,319
215k,455
258k,"1,401"
290k,"1,479"
170k,537
125k,330
647k,605
104k,286
126k,796
354k,"1,379"
117k,316
303k,317
197k,134
150k,315
148k,537
124k,638
258k,451
207k,286
251k,413
213k,"1,175"
207k,286
251k,413
213k,"1,175"
255k,977
143k,697
144k,409
242k,"1,119"
151k,599
70.2k,184
206k,816
369k,"1,671"
130k,486
71.9k,240
141k,523
102k,277
169k,263
119k,521
77.7k,160
189k,603
123k,253
171k,799
189k,603
123k,253
171k,799
293k,"1,191"
169k,678
247k,920
225k,"1,005"
711k,635
92.3k,327
126k,364
65.1k,190
198k,750
393k,"1,386"
203k,854
70.5k,153
103k,204
156k,614
254k,589
237k,414
253k,245
69.8k,137
237k,414
253k,245
