likes,comments
50k,231
283k,"3,208"
75.8k,320
49.3k,900
201k,"2,556"
38.8k,332
2.7m,"5,582"
288k,229
161k,"1,560"
835k,"1,648"
53.5k,539
4.1m,"9,766"
68.6k,"1,543"
271k,977
109k,"2,841"
106k,204
322k,716
49.4k,794
90.8k,"1,151"
2.1m,"5,886"
215k,"1,136"
105k,497
524k,641
67.9k,630
205k,"1,428"
6m,18.7k
143k,"1,205"
179k,"3,958"
238k,"1,431"
99.4k,"1,031"
179k,"3,958"
238k,"1,431"
99.4k,"1,031"
921k,13.8k
77.9k,876
94k,703
243k,"1,262"
827k,"3,443"
418k,367
138k,752
57.2k,345
100k,503
138k,752
57.2k,345
100k,503
229k,"1,632"
106k,"1,146"
301k,461
481k,"2,914"
318k,532
399k,"1,039"
475k,"1,117"
671k,"2,760"
4.2m,29.1k
102k,654
102k,599
131k,116
119k,"1,002"
306k,260
348k,"1,126"
2.5m,"8,270"
411k,"7,131"
1.1m,"3,190"
2.5m,"8,270"
411k,"7,131"
1.1m,"3,190"
660k,"1,595"
61.6k,346
109k,934
387k,"2,124"
473k,"7,015"
271k,673
223k,771
3.2m,"3,644"
75.5k,373
83.4k,373
260k,227
481k,"8,855"
109k,486
128k,552
26k,161
493k,"5,992"
114k,"1,286"
94.9k,651
493k,"5,992"
114k,"1,286"
94.9k,651
2.3m,"7,194"
125k,"1,255"
126k,881
410k,948
543k,"7,524"
142k,795
60.6k,"1,019"
122k,470
332k,"1,406"
1.6m,"2,155"
137k,755
149k,"1,359"
166k,869
282k,"1,229"
6.4m,45k
294k,"1,440"
2m,"9,538"
707k,19k
294k,"1,440"
2m,"9,538"
707k,19k
89.6k,"4,018"
440k,"1,512"
362k,811
427k,"1,159"
318k,583
5.9m,10.5k
977k,"1,546"
91.3k,613
804k,"2,159"
297k,"1,463"
306k,730
142k,"2,153"
241k,"1,724"
270k,692
274k,"1,642"
143k,"1,288"
526k,"1,751"
214k,"2,381"
143k,"1,288"
526k,"1,751"
214k,"2,381"
294k,908
61.2k,595
787k,"9,246"
491k,792
356k,"1,073"
90.9k,649
74.9k,629
78.1k,709
382k,"6,931"
119k,713
2.3m,"6,181"
81.3k,588
193k,"1,005"
169k,"1,352"
84.5k,711
1m,"1,964"
127k,685
121k,768
1m,"1,964"
127k,685
121k,768
72.2k,536
133k,"1,164"
458k,"2,712"
546k,"1,904"
169k,992
165k,886
117k,"1,024"
2.1m,"3,675"
645k,"2,191"
794k,"1,197"
3.4m,11.1k
400k,"2,779"
430k,"1,494"
5.9m,23.6k
366k,"1,094"
451k,"1,765"
1.1m,"2,552"
1.3m,"3,242"
840k,"1,001"
167k,"1,155"
429k,"2,408"
840k,"1,001"
167k,"1,155"
429k,"2,408"
187k,"1,354"
292k,"1,735"
410k,730
966k,"2,935"
7.1m,13.7k
230k,"1,994"
279k,"2,289"
1m,"1,028"
2.8m,"9,979"
12.5m,29.2k
490k,660
,0
283k,"9,964"
596k,"1,006"
392k,"4,194"
246k,"1,326"
122k,796
158k,"1,676"
246k,"1,326"
122k,796
158k,"1,676"
112k,827
2.5m,"4,459"
55.5k,372
77.4k,322
183k,"1,333"
182k,"1,521"
449k,328
234k,"1,004"
438k,275
5.2m,12.8k
142k,"1,320"
222k,"1,500"
251k,"1,132"
93.8k,764
136k,"1,069"
374k,"4,362"
352k,784
339k,12.6k
374k,"4,362"
352k,784
339k,12.6k
225k,"1,759"
92.8k,765
125k,"1,800"
604k,"9,511"
1m,"1,269"
396k,"1,336"
104k,"1,168"
182k,"1,948"
137k,"1,277"
201k,"2,023"
442k,"3,365"
1.1m,"2,065"
412k,642
267k,490
201k,994
141k,769
346k,"1,093"
108k,593
141k,769
346k,"1,093"
108k,593
162k,"1,416"
117k,937
521k,"3,041"
145k,996
323k,"2,046"
163k,"1,021"
153k,938
80.7k,437
893k,"4,873"
445k,493
94.3k,"1,045"
128k,901
91.3k,"1,275"
1.2m,"2,035"
265k,707
202k,352
421k,"1,036"
305k,491
202k,352
421k,"1,036"
305k,491
480k,"3,093"
533k,"1,192"
264k,679
421k,"1,995"
593k,513
513k,799
198k,952
494k,"2,610"
274k,585
455k,802
115k,"1,090"
133k,"1,295"
211k,413
103k,677
239k,"3,089"
298k,"1,957"
161k,846
326k,456
298k,"1,957"
161k,846
326k,456
302k,"2,341"
146k,958
170k,"3,047"
562k,"1,903"
106k,826
495k,"1,647"
176k,"1,164"
171k,"1,002"
130k,605
797k,"1,993"
136k,883
240k,552
58.8k,353
1.2m,"1,341"
1m,"1,731"
304k,"2,032"
103k,"1,390"
469k,"6,232"
304k,"2,032"
103k,"1,390"
469k,"6,232"
120k,"1,796"
125k,839
235k,"2,621"
256k,"3,787"
247k,"1,298"
167k,385
113k,753
194k,440
97.5k,449
244k,459
220k,"1,288"
362k,695
198k,629
442k,"7,029"
103k,829
316k,"1,016"
503k,740
106k,877
316k,"1,016"
503k,740
106k,877
299k,888
569k,"1,506"
175k,985
120k,616
70.5k,773
276k,"1,465"
319k,"2,213"
321k,"1,119"
,0
322k,305
189k,300
368k,541
27.7k,223
771k,"9,922"
937k,"3,009"
2m,"1,449"
128k,"1,419"
298k,"2,833"
123k,899
1.9m,"2,015"
283k,"1,275"
123k,899
1.9m,"2,015"
283k,"1,275"
915k,"3,944"
366k,"1,124"
128k,726
