likes,comments
169k,731
134k,554
194k,501
195k,"1,063"
344k,"1,595"
34.5k,157
227k,773
305k,"1,546"
106k,370
209k,938
53.2k,306
197k,"1,089"
238k,773
2m,"1,717"
246k,837
1.2m,"2,253"
40.2k,303
513k,"2,250"
54.4k,309
65k,370
251k,"1,168"
60.4k,555
51.5k,350
314k,"1,520"
152k,"7,764"
254k,"1,443"
263k,"1,014"
67.8k,"1,179"
720k,447
200k,921
67.8k,"1,179"
720k,447
200k,921
210k,808
135k,432
243k,894
62.5k,320
261k,"2,399"
211k,"1,212"
49.5k,312
61.5k,434
75.9k,443
59.1k,311
302k,983
287k,"1,425"
59.1k,311
302k,983
287k,"1,425"
66.5k,459
244k,"1,211"
171k,812
167k,673
68.4k,478
184k,"1,086"
76.9k,527
65k,306
242k,"1,124"
283k,771
3.9m,"3,140"
306k,"2,116"
326k,192
359k,"1,928"
341k,"3,338"
1m,"1,332"
1.4m,"2,348"
236k,809
1m,"1,332"
1.4m,"2,348"
236k,809
1.2m,"1,491"
168k,"1,211"
1.8m,"2,098"
312k,"1,123"
2m,"4,036"
52.9k,371
108k,891
317k,"1,621"
65.4k,476
4.3m,"9,247"
54.8k,358
457k,340
55.4k,329
565k,"3,540"
119k,"1,109"
61.8k,249
200k,306
1.4m,106
61.8k,249
200k,306
1.4m,106
812k,697
205k,62
348k,381
140k,148
67.4k,47
310k,152
148k,44
302k,133
198k,41
491k,33
344k,26
262k,53
495k,59
1.2m,12
873k,130
372k,280
408k,106
361k,98
372k,280
408k,106
361k,98
451k,0
698k,0
883k,0
992k,0
427k,"9,276"
449k,"2,001"
91.2k,609
269k,"1,405"
200k,707
2m,"1,353"
779k,"4,387"
584k,538
770k,"3,188"
562k,"3,017"
67.4k,597
408k,"2,637"
106k,898
322k,"1,213"
408k,"2,637"
106k,898
322k,"1,213"
323k,"1,326"
438k,"3,301"
284k,"1,641"
344k,0
283k,"1,245"
406k,"1,752"
395k,"1,251"
607k,"2,589"
293k,"1,479"
633k,"3,412"
186k,610
223k,651
313k,"2,077"
342k,"1,798"
208k,"1,137"
505k,"1,218"
218k,470
249k,524
505k,"1,218"
218k,470
249k,524
758k,"2,110"
315k,"1,533"
348k,744
246k,569
566k,"1,503"
619k,"1,319"
366k,"1,419"
313k,"1,481"
233k,"1,146"
612k,"1,633"
699k,"2,917"
397k,"1,984"
433k,"2,458"
199k,919
254k,"1,116"
169k,937
513k,"2,451"
342k,"1,821"
143k,839
248k,"1,036"
1.1m,"7,493"
143k,839
248k,"1,036"
1.1m,"7,493"
599k,"1,221"
1.1m,"4,612"
835k,"3,910"
323k,"1,094"
250k,"1,424"
313k,"1,938"
322k,"1,736"
61.6k,356
514k,"1,726"
435k,"5,710"
309k,"2,097"
264k,999
526k,915
381k,"2,978"
320k,"1,466"
218k,"1,636"
193k,"1,292"
182k,935
218k,"1,636"
193k,"1,292"
182k,935
444k,"3,875"
413k,"1,460"
341k,"1,457"
305k,"1,513"
265k,906
79.7k,481
402k,"2,852"
216k,"1,088"
218k,"1,142"
328k,"1,844"
416k,"1,836"
530k,"2,331"
305k,"2,430"
256k,573
771k,"3,063"
298k,"1,018"
339k,339
58.7k,482
298k,"1,018"
339k,339
58.7k,482
91k,643
487k,"2,295"
67.9k,311
240k,"1,462"
1.2m,"2,692"
233k,"1,070"
403k,"1,475"
381k,"3,111"
391k,"1,405"
247k,"1,300"
107k,592
402k,"1,180"
500k,"1,731"
514k,"3,577"
66.2k,324
64.5k,399
147k,781
197k,677
64.5k,399
147k,781
197k,677
239k,"1,978"
157k,602
357k,"1,279"
351k,"1,182"
174k,"1,230"
271k,239
1.5m,"1,248"
314k,"1,246"
336k,"2,115"
208k,"1,461"
153k,890
106k,413
217k,949
139k,752
118k,377
238k,"1,196"
194k,750
234k,745
238k,"1,196"
194k,750
234k,745
318k,"1,111"
183k,770
150k,579
185k,868
426k,"1,828"
229k,"1,004"
404k,"1,255"
371k,795
531k,475
178k,781
418k,"1,562"
215k,874
131k,446
131k,503
160k,558
323k,"1,022"
230k,800
173k,572
323k,"1,022"
230k,800
173k,572
143k,595
232k,830
118k,373
266k,"1,074"
148k,536
177k,601
420k,654
115k,365
205k,"2,520"
627k,"3,187"
301k,"2,381"
451k,"1,524"
391k,"1,594"
355k,"1,197"
193k,463
224k,903
793k,"2,196"
391k,319
224k,903
793k,"2,196"
391k,319
136k,535
150k,546
130k,449
427k,"2,010"
216k,664
229k,845
328k,"1,234"
228k,214
389k,505
315k,"1,197"
210k,573
127k,368
252k,"1,182"
201k,652
201k,886
356k,"1,251"
475k,"1,938"
263k,866
618k,"1,662"
225k,844
753k,424
618k,"1,662"
225k,844
753k,424
686k,"3,969"
169k,514
270k,937
354k,"1,180"
203k,579
159k,476
183k,622
257k,"1,142"
282k,864
137k,517
258k,"1,043"
99.3k,386
195k,903
126k,493
172k,636
186k,653
294k,726
173k,758
186k,653
294k,726
173k,758
171k,554
132k,401
443k,"1,106"
218k,688
184k,673
262k,833
181k,645
224k,866
256k,656
173k,487
449k,"1,552"
150k,503
334k,976
566k,472
769k,452
338k,294
309k,958
438k,411
338k,294
309k,958
438k,411
51.6k,205
237k,740
557k,461
145k,577
388k,722
109k,462
131k,449
131k,438
124k,435
200k,340
159k,516
171k,177
131k,498
219k,884
124k,420
149k,577
225k,723
325k,"1,363"
149k,577
225k,723
325k,"1,363"
206k,720
122k,382
138k,434
129k,454
110k,324
282k,971
88.1k,313
104k,348
154k,466
144k,476
106k,312
183k,672
116k,403
134k,443
154k,507
142k,505
242k,712
143k,488
142k,505
242k,712
143k,488
353k,950
294k,"1,049"
613k,"2,387"
1m,"1,021"
188k,679
81.8k,307
515k,"1,312"
289k,"1,327"
1.9m,673
801k,435
248k,"2,440"
637k,"1,357"
79.7k,365
122k,334
182k,430
6.5m,"2,794"
124k,238
459k,966
6.5m,"2,794"
124k,238
459k,966
466k,795
259k,728
308k,709
139k,443
253k,672
177k,450
221k,798
167k,489
378k,"1,087"
122k,595
186k,576
292k,414
144k,469
166k,556
280k,870
318k,"1,120"
76.2k,353
279k,"1,196"
318k,"1,120"
76.2k,353
279k,"1,196"
99.3k,413
114k,433
100k,277
138k,442
141k,483
89.8k,242
139k,471
194k,637
215k,595
125k,438
108k,339
207k,535
158k,487
127k,372
155k,434
106k,303
204k,625
258k,876
106k,303
204k,625
258k,876
159k,457
189k,561
242k,804
205k,555
275k,821
439k,"1,442"
45.5k,207
215k,659
287k,863
130k,440
198k,602
192k,604
150k,430
232k,641
188k,596
166k,540
111k,338
247k,504
134k,555
154k,542
266k,765
134k,555
154k,542
266k,765
206k,652
292k,844
254k,611
213k,406
190k,509
150k,359
198k,372
248k,405
162k,363
146k,408
296k,979
164k,361
194k,326
160k,365
107k,323
326k,940
203k,398
245k,469
326k,940
203k,398
245k,469
132k,316
116k,310
188k,461
217k,404
144k,258
176k,354
122k,464
117k,319
170k,456
82.3k,154
304k,779
192k,847
405k,"1,248"
531k,825
181k,490
255k,762
244k,"1,074"
304k,566
255k,762
244k,"1,074"
304k,566
114k,454
186k,688
148k,505
215k,883
422k,"1,000"
285k,807
380k,"1,248"
220k,788
350k,"1,307"
447k,585
242k,696
446k,596
267k,463
143k,219
253k,336
538k,802
230k,490
149k,470
538k,802
230k,490
149k,470
159k,589
461k,"2,168"
121k,331
192k,625
136k,392
260k,800
319k,364
104k,277
102k,304
119k,308
157k,467
110k,302
144k,386
145k,451
102k,290
178k,472
125k,298
284k,901
178k,472
125k,298
284k,901
337k,"1,077"
311k,373
219k,585
135k,429
182k,587
172k,467
129k,453
127k,372
151k,464
110k,355
243k,814
123k,344
64.2k,270
65.2k,295
73.3k,204
282k,957
219k,715
479k,"1,999"
282k,957
219k,715
479k,"1,999"
96.8k,318
61.1k,245
72.6k,205
506k,304
253k,395
149k,580
135k,441
162k,498
240k,730
2.4m,"1,352"
157k,588
184k,635
109k,462
131k,508
171k,497
544k,"2,100"
445k,"1,606"
176k,702
544k,"2,100"
445k,"1,606"
176k,702
107k,329
143k,388
108k,296
205k,647
130k,398
97.7k,274
122k,310
223k,559
146k,349
239k,731
552k,"1,435"
173k,448
162k,717
206k,746
166k,556
454k,"1,154"
156k,462
634k,"2,263"
107k,340
150k,480
105k,346
107k,340
150k,480
105k,346
944k,391
321k,277
293k,235
140k,558
216k,811
189k,669
389k,193
700k,402
793k,849
469k,355
743k,745
228k,204
105k,396
162k,563
90.8k,282
88.9k,291
124k,431
94.6k,318
88.9k,291
124k,431
94.6k,318
607k,335
564k,282
456k,260
262k,239
397k,381
370k,291
151k,554
177k,535
98k,298
1.8m,"1,993"
1.3m,936
425k,689
220k,944
285k,987
172k,568
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
430k,"1,440"
,0
,0
,0
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
430k,"1,440"
312k,418
301k,944
