likes,comments
21.1k,80
149k,143
72.7k,153
50.7k,163
82.2k,307
148k,541
86.6k,223
82.9k,311
92.8k,364
37.1k,103
74.6k,166
30.9k,76
46.2k,199
206k,203
29.5k,175
48.3k,161
63.6k,247
31.7k,200
26.4k,114
59.2k,309
81.4k,399
61.2k,463
79.6k,301
99.4k,703
54.8k,180
39.6k,221
63.6k,205
40.3k,120
22.3k,88
37.7k,271
40.3k,120
22.3k,88
37.7k,271
95.1k,322
97.4k,494
55.1k,175
95.1k,322
97.4k,494
55.1k,175
64.5k,332
111k,452
66.4k,325
254k,170
34.2k,144
142k,650
74.5k,518
140k,170
83.4k,369
100k,362
78.3k,418
61.7k,323
74.7k,395
105k,831
36.4k,169
95.6k,64.2k
69.5k,437
51.7k,239
95.6k,64.2k
69.5k,437
51.7k,239
74.7k,341
41.5k,173
96.2k,397
49.1k,129
73.5k,351
67k,403
82.4k,422
25.9k,168
57.3k,259
55.1k,303
52.6k,216
43.1k,191
78.8k,268
27.6k,124
64.3k,186
102k,492
122k,553
138k,"1,009"
102k,492
122k,553
138k,"1,009"
70.7k,282
304k,"1,775"
41.9k,214
23.5k,83
103k,339
53.3k,164
202k,140
86.6k,333
136k,84
65k,277
591k,"1,095"
62.4k,162
128k,157
44.5k,320
67k,184
139k,87
50.7k,438
74.5k,435
52.3k,235
45.4k,204
45.1k,143
52.3k,235
45.4k,204
45.1k,143
63.2k,353
37k,108
44.7k,148
87.8k,372
120k,369
64.2k,253
85k,331
611k,210
225k,"3,678"
46.3k,117
185k,635
225k,"3,030"
62.9k,266
69.1k,285
29k,149
48.9k,206
69.2k,438
96.9k,456
48.9k,206
69.2k,438
96.9k,456
70.5k,435
65.8k,321
51.7k,145
73.5k,301
71.8k,330
28.9k,143
110k,876
56.3k,331
188k,"2,508"
40.3k,595
59.7k,327
73.3k,275
69.8k,365
71.8k,340
82.5k,872
35.7k,168
94.2k,739
52.2k,298
35.7k,168
94.2k,739
52.2k,298
62.7k,278
94.8k,757
65.3k,270
61.2k,397
73.7k,368
69.1k,364
99.8k,839
74.3k,451
49.5k,292
66.6k,294
63.8k,610
284k,325
75.1k,487
46.4k,441
68.6k,608
45.8k,527
57.9k,265
51.7k,306
45.8k,527
57.9k,265
51.7k,306
59.6k,282
80.3k,392
821k,"1,063"
60.8k,251
60.3k,211
55.4k,256
63.6k,280
207k,256
62.1k,291
53.8k,408
29.3k,88
80.3k,323
38k,229
45.9k,245
254k,201
41.1k,214
51.5k,257
19.1k,113
41.1k,214
51.5k,257
19.1k,113
164k,122
641k,439
72.7k,283
36.9k,337
292k,226
81k,"1,511"
189k,269
102k,65
54.5k,310
224k,304
30.2k,151
68.7k,"1,121"
42.2k,313
220k,262
23.1k,119
36k,116
260k,356
59.6k,227
36k,116
260k,356
59.6k,227
65k,386
197k,226
53.4k,271
75.6k,97
344k,317
62.8k,363
115k,563
64.5k,301
340k,458
44.5k,288
53.3k,229
78.2k,448
22.3k,140
46.8k,269
477k,525
47.8k,208
58.3k,348
283k,295
47.8k,208
58.3k,348
283k,295
47.1k,193
75.6k,269
42.7k,376
72.6k,78
41.7k,184
153k,206
72.8k,431
231k,289
329k,275
38.8k,183
162k,187
60.6k,271
45.5k,240
52.4k,332
73.7k,520
52.5k,254
175k,252
50.4k,342
52.5k,254
175k,252
50.4k,342
57.3k,340
64.6k,288
193k,180
68.1k,413
136k,133
95.4k,"1,489"
61.8k,366
119k,228
42.1k,175
56.1k,382
548k,565
113k,141
304k,291
51.5k,320
389k,365
405k,225
67.3k,292
41.2k,132
288k,508
210k,230
185k,210
288k,508
210k,230
185k,210
56.8k,426
46.3k,283
68.1k,910
110k,606
32.4k,701
34.7k,299
62k,348
40.4k,321
85.5k,369
34.2k,254
545k,482
49.8k,499
54.6k,69.3k
48.3k,265
94.3k,476
75.5k,635
216k,265
34.3k,105
75.5k,635
216k,265
34.3k,105
54.1k,366
322k,393
55k,328
67.9k,159
29.7k,155
533k,560
176k,260
490k,347
53k,646
193k,361
250k,269
54.8k,263
273k,216
47.5k,273
290k,294
53.1k,268
38.2k,265
99.1k,577
53.1k,268
38.2k,265
99.1k,577
392k,487
47.1k,265
288k,384
148k,204
40.1k,260
473k,210
191k,195
87.3k,784
,0
277k,492
49.4k,234
78.1k,476
468k,474
61.7k,353
77.9k,385
274k,198
550k,808
467k,484
274k,198
550k,808
467k,484
347k,632
67.7k,375
40.7k,182
1m,742
62.3k,291
194k,206
57k,336
687k,921
48.8k,272
231k,337
103k,933
46.9k,374
287k,402
167k,216
289k,818
252k,333
94.3k,669
649k,162
252k,333
94.3k,669
649k,162
347k,241
57.3k,263
320k,313
37.8k,209
393k,444
67.2k,645
66.6k,365
274k,313
62.1k,233
313k,318
513k,574
67.5k,"1,163"
105k,543
648k,686
119k,"3,698"
16.7k,63
64k,622
303k,"1,071"
16.7k,63
64k,622
303k,"1,071"
46.4k,355
227k,301
49.7k,391
45.3k,218
87k,873
61.5k,314
62.3k,401
39.5k,255
64.2k,578
49.8k,331
51.8k,464
52.4k,347
346k,442
53.4k,394
68.8k,549
598k,449
57.6k,383
221k,355
598k,449
57.6k,383
221k,355
86.6k,"1,396"
479k,333
74.1k,0
220k,337
63.2k,551
71.6k,"1,553"
355k,791
89.8k,798
304k,412
378k,598
86.9k,"3,398"
180k,231
321k,303
325k,472
51.6k,399
274k,413
756k,803
58.3k,581
36.3k,224
49.8k,377
483k,560
36.3k,224
49.8k,377
483k,560
254k,466
43.4k,347
73.1k,478
398k,725
271k,461
43k,325
312k,359
60.4k,605
66.9k,786
31.6k,262
429k,"1,173"
34.1k,258
449k,441
62.3k,306
504k,"1,628"
40.2k,259
163k,293
112k,97
40.2k,259
163k,293
112k,97
174k,235
43.7k,286
265k,491
42.1k,288
316k,571
69.3k,780
51.6k,462
34.1k,139
65.3k,311
36.5k,211
140k,99
61k,490
54.9k,333
341k,361
41.3k,276
443k,523
34.5k,634
43.3k,346
443k,523
34.5k,634
43.3k,346
182k,133
42.1k,186
38k,153
293k,194
36.2k,235
50.7k,283
458k,792
51.3k,291
269k,214
133k,278
410k,391
40.2k,287
405k,649
241k,255
629k,"1,584"
43k,253
39k,267
335k,448
43k,253
39k,267
335k,448
411k,343
64.5k,577
40.8k,197
89.1k,131
171k,277
71.6k,515
53.9k,426
41k,210
392k,405
65k,"1,008"
329k,300
132k,299
34.2k,313
109k,121
343k,360
131k,600
48.2k,370
286k,223
131k,600
48.2k,370
286k,223
59.4k,598
359k,450
55.8k,202
39.9k,256
136k,214
81.5k,327
715k,"1,324"
344k,293
56.4k,248
54.8k,670
