likes,comments
383k,538
999k,666
1.2m,422
2m,992
1.6m,"1,203"
1.8m,"2,472"
4m,"2,436"
842k,211
3.6m,"6,896"
1.6m,743
277k,367
1.6m,"1,207"
550k,402
1.3m,293
4.6m,"1,654"
3.8m,"1,439"
1m,984
3.9m,"2,436"
607k,319
1.5m,952
6.2m,"3,345"
687k,"3,227"
2.1m,"1,631"
926k,342
2.5m,"2,198"
169k,"1,791"
6.9m,"9,008"
515k,476
2.2m,788
1.2m,318
515k,476
2.2m,788
1.2m,318
1.7m,954
1.1m,11.7k
1.6m,"3,305"
1.7m,954
1.1m,11.7k
1.6m,"3,305"
103k,"1,626"
183k,"3,456"
9m,"4,134"
1.9m,"2,578"
1.6m,654
1.4m,408
2.3m,"2,069"
3.4m,"3,668"
412k,"1,800"
2.2m,860
1.1m,342
1m,281
1.2m,"1,525"
1.9m,429
3.4m,"4,362"
2.7m,"3,489"
1.7m,475
4.1m,"2,856"
2.7m,"3,489"
1.7m,475
4.1m,"2,856"
4.1m,"2,646"
2.5m,"4,134"
908k,297
2m,"1,343"
1m,457
2.2m,981
4.8m,"7,040"
911k,913
2.5m,"1,069"
182k,"2,251"
4.8m,"7,530"
1.9m,370
1.3m,456
5.7m,"1,874"
617k,595
1m,288
1.1m,407
7.1m,12.3k
1m,288
1.1m,407
7.1m,12.3k
1.4m,313
7.7m,"8,793"
1m,484
937k,331
2.3m,"1,313"
3.9m,"4,083"
353k,"3,252"
3m,691
1.4m,575
51.2k,205
2.5m,601
3.5m,"3,040"
1.7m,738
3.7m,"1,828"
1.7m,782
1.6m,565
1.7m,"1,550"
3m,"3,586"
3.3m,"1,464"
983k,313
2.9m,"2,204"
3.3m,"1,464"
983k,313
2.9m,"2,204"
1.1m,393
4.4m,"1,440"
699k,"6,315"
1.1m,572
1.1m,345
3.4m,"1,962"
744k,330
1.5m,543
1.3m,424
1.6m,429
4.5m,"2,470"
1.9m,"1,533"
1.3m,"6,386"
3.1m,"2,496"
1.8m,911
2m,835
319k,"5,938"
1.1m,873
2m,835
319k,"5,938"
1.1m,873
1.1m,714
2.7m,"1,068"
1.7m,803
1.5m,489
1.1m,266
985k,578
706k,378
5.1m,"4,915"
1.1m,569
2.5m,"1,726"
2.6m,984
957k,541
68.8k,"1,348"
2.2m,633
1.1m,477
2.4m,"2,931"
7.8m,"9,283"
3.3m,"1,784"
2.4m,"2,931"
7.8m,"9,283"
3.3m,"1,784"
1.2m,751
780k,227
3m,"1,179"
906k,"1,353"
3.4m,"2,101"
8.9m,32.2k
657k,940
1.9m,"2,966"
6.9m,"2,595"
4.3m,"2,722"
106k,"1,640"
166k,"3,553"
5.3m,"3,463"
1.9m,"1,176"
1.8m,"2,371"
3.8m,"3,808"
3.7m,"6,270"
10.7m,46.9k
3.8m,"3,808"
3.7m,"6,270"
10.7m,46.9k
584k,0
3.3m,0
6.4m,0
773k,0
4.6m,0
1.8m,0
3.5m,0
2.7m,0
634k,0
1.7m,0
1.2m,0
1.6m,0
2.2m,0
1.4m,0
69.2k,0
2.3m,0
70.9k,0
2.2m,0
2.3m,0
70.9k,0
2.2m,0
1.7m,0
2.1m,0
6.9m,14.4k
110k,0
1.4m,0
63.8k,0
2.1m,"7,617"
1.1m,"3,153"
215k,"4,906"
1.3m,"1,510"
1.4m,"1,745"
70.2k,"3,793"
2.2m,"2,697"
3.1m,"5,040"
1.3m,"1,040"
2.3m,"6,095"
82.2k,"1,125"
2.1m,"2,514"
2.3m,"6,095"
82.2k,"1,125"
