likes,comments
32.1k,207
41.5k,203
48.3k,184
57.2k,436
59.3k,479
96.9k,"1,174"
46.1k,150
31.1k,110
38.8k,146
41.5k,140
522k,460
59.7k,353
76.6k,"2,105"
38.7k,136
31.4k,115
66.4k,"1,180"
24.1k,83
45.5k,114
38.2k,156
59.5k,287
36.5k,85
59.2k,152
63k,245
71.6k,500
40.3k,139
38.5k,144
48k,120
55.4k,223
36.9k,219
38.8k,108
57.6k,273
65.7k,493
234k,508
57.6k,273
65.7k,493
234k,508
55.7k,268
34.2k,107
60.3k,342
51.9k,204
21.8k,76
80.9k,394
47.7k,211
50.5k,249
55.7k,452
48.1k,324
52.9k,0
48k,226
52k,313
77k,"5,478"
65.1k,616
51.2k,271
86.9k,355
64.9k,515
51.2k,271
86.9k,355
64.9k,515
70.7k,646
52.4k,226
56.7k,386
36.6k,163
62.2k,530
52.9k,292
81.6k,514
50.4k,246
45.4k,169
64.8k,287
60.7k,236
85.8k,886
41.1k,168
103k,249
52.3k,353
41.5k,235
59.4k,373
58.5k,228
41.5k,235
59.4k,373
58.5k,228
57.4k,292
84.9k,934
36.6k,177
44.2k,165
49.7k,214
64k,274
66.9k,377
42.3k,98
105k,591
59.3k,408
61.7k,696
51.4k,226
30.2k,101
58.6k,295
50.5k,317
43.1k,289
49.4k,274
25.9k,60
43.1k,289
49.4k,274
25.9k,60
64.2k,368
61.5k,330
38.5k,94
55.6k,214
46.2k,143
51.6k,195
37.7k,90
68.8k,305
107k,"1,121"
67.3k,394
66.7k,354
49.9k,202
46.8k,135
34.8k,133
61.8k,508
45.4k,154
56.4k,283
36.5k,231
56.3k,241
32.7k,118
65.7k,319
56.3k,241
32.7k,118
65.7k,319
142k,429
74.3k,390
68k,409
48.4k,168
51.9k,311
72.2k,451
50.3k,232
43.6k,194
64.3k,570
38.9k,208
69.1k,440
81.1k,692
41.2k,144
36.8k,144
39.4k,143
61.5k,252
38.7k,146
48.1k,347
61.5k,252
38.7k,146
48.1k,347
54.1k,301
65.6k,305
80k,478
40.2k,285
51.9k,281
90.9k,609
31.7k,158
31.9k,138
36.9k,220
52.7k,371
50.1k,169
33.4k,122
46.9k,618
46.7k,203
49.3k,373
64k,366
31.8k,116
90.9k,752
64k,366
31.8k,116
90.9k,752
42.7k,206
59.8k,410
41.5k,196
68.7k,273
43.8k,131
40.4k,187
40.9k,247
64k,434
41.5k,178
44.1k,189
31.9k,110
55k,596
57.8k,379
26.3k,454
31.6k,125
63.1k,316
31.7k,102
55.4k,348
63.1k,316
31.7k,102
55.4k,348
36.9k,135
58.9k,201
63.5k,271
42k,244
77.5k,279
40.8k,160
48.7k,190
83.2k,616
35.3k,102
57.8k,412
76.5k,"1,022"
69.2k,684
44k,240
34.8k,157
62.5k,547
35.8k,115
32.5k,121
35.3k,189
35.8k,115
32.5k,121
35.3k,189
53.6k,249
51.7k,190
84.6k,487
90.9k,"1,269"
47.5k,219
63.4k,271
55.2k,335
56.3k,519
58.2k,363
51.6k,282
46.2k,256
110k,977
66.3k,253
55.6k,428
86.4k,590
38k,219
100k,578
58.5k,192
38k,219
100k,578
58.5k,192
53.8k,232
130k,"1,902"
61.4k,375
52.4k,223
67.6k,631
59.8k,238
60.9k,193
53.8k,217
72.4k,307
42k,174
64.7k,277
75.1k,447
73.3k,981
107k,808
110k,"5,308"
88.3k,749
50.3k,357
106k,"5,871"
88.3k,749
50.3k,357
106k,"5,871"
82.7k,396
31.5k,96
48.9k,230
66.5k,533
38.5k,122
52.3k,377
27.7k,82
82.8k,699
49k,251
48.8k,195
37.1k,106
35.1k,150
38.8k,171
58.7k,207
70.3k,401
27.6k,76
117k,"1,052"
32.6k,110
27.6k,76
117k,"1,052"
32.6k,110
29k,110
58.4k,206
69.8k,475
18.9k,74
44.9k,145
26.5k,221
47.7k,141
50k,248
105k,471
74.7k,585
33.9k,95
21.8k,116
41.3k,355
47.2k,178
40k,148
48.9k,202
85.7k,689
52k,236
49.3k,192
32.1k,123
62.1k,294
49.3k,192
32.1k,123
62.1k,294
44.2k,197
47.3k,275
24.4k,67
38.1k,189
90.6k,580
42.7k,165
52.3k,279
55.3k,166
36.9k,138
37k,256
51.8k,381
29.9k,95
60.8k,457
85.3k,574
26.1k,134
42.4k,115
82k,535
39.2k,97
42.4k,115
82k,535
39.2k,97
26.5k,67
72.6k,577
33.2k,155
47.2k,210
34.4k,85
56.2k,240
48.9k,139
38.3k,111
22.7k,76
52.8k,129
46k,233
25.8k,55
36.4k,126
41.7k,180
76.1k,443
54k,0
52.6k,234
55.4k,207
54k,0
52.6k,234
55.4k,207
55.3k,274
45.1k,160
55.5k,131
34k,72
43.7k,132
105k,"1,148"
74.8k,390
27.4k,76
61k,214
41.2k,165
28.7k,74
57.5k,327
