likes,comments
907,17
"1,208",24
"1,356",34
"2,215",42
"1,800",24
"2,144",25
"2,531",16
"2,504",35
"2,646",61
"2,115",31
"2,154",22
"2,308",27
"2,198",21
"2,312",29
"2,399",32
757,14
"1,676",14
"3,164",45
656,29
"1,032",23
856,59
670,31
929,60
449,28
"1,047",50
921,47
745,33
290,11
556,20
957,51
290,11
556,20
957,51
655,41
614,52
863,68
539,37
808,49
"4,085",45
"1,016",74
898,51
396,47
"1,016",74
898,51
396,47
"1,354",59
615,34
458,77
473,37
470,24
642,25
942,16
880,20
680,11
853,20
"2,391",49
913,18
770,29
"1,253",44
"1,077",36
673,8
767,10
819,7
673,8
767,10
819,7
"1,363",39
"1,306",20
"1,701",86
983,20
924,12
716,19
712,29
738,12
"1,174",14
"1,670",65
926,21
"1,049",37
"1,038",17
927,37
"1,024",20
878,15
"1,950",59
622,1
"1,044",21
"1,290",25
"1,467",35
"1,044",21
"1,290",25
"1,467",35
657,10
"1,177",33
761,18
941,10
"1,959",31
"1,383",24
"1,714",35
"1,509",23
"1,267",31
"1,029",21
"2,121",54
949,26
"1,104",15
"1,093",27
"2,768",21
990,25
"1,177",8
"1,824",44
990,25
"1,177",8
"1,824",44
445,2
482,4
549,11
620,5
559,4
366,6
"1,206",3
639,4
631,6
478,16
622,4
"2,426",10
"1,224",28
"2,795",38
"1,160",37
"1,192",42
"1,154",61
"1,225",35
"1,192",42
"1,154",61
"1,225",35
"1,557",53
"1,264",54
911,13
498,5
825,15
910,25
"1,246",39
646,19
772,28
927,31
"1,028",49
833,20
710,23
"1,032",19
"1,208",29
"1,032",44
"1,111",18
805,26
"1,032",44
"1,111",18
805,26
"1,268",60
"1,304",26
933,24
"1,854",30
"1,569",21
"2,711",19
556,15
"1,091",33
604,12
"1,659",69
685,6
938,39
606,14
524,9
"2,877",37
"1,446",41
"1,000",52
"2,187",73
"1,446",41
"1,000",52
"2,187",73
"3,467",20
"1,358",12
"1,319",32
"2,298",22
"1,431",29
"1,225",32
"1,074",57
"1,146",48
"1,190",18
"2,029",52
"2,499",49
"3,858",74
"2,304",26
"2,552",64
"1,094",24
856,24
"1,039",25
"1,976",16
856,24
"1,039",25
"1,976",16
"1,357",52
"2,919",29
"1,652",39
"1,878",74
"2,106",85
"2,102",138
"1,942",33
"2,884",32
"3,542",36
"3,714",14
"4,286",25
"2,278",47
"1,346",20
"2,588",34
"2,050",37
"1,969",16
"1,682",52
"1,730",31
"1,969",16
"1,682",52
"1,730",31
"1,562",38
"2,658",117
16.2k,55
"4,728",33
"1,337",22
"1,415",61
"2,408",84
"1,546",64
"2,592",27
755,28
"1,236",38
"1,411",36
882,39
865,31
"1,090",49
"1,982",62
760,36
"2,687",68
"1,982",62
760,36
"2,687",68
764,55
889,42
"1,149",46
"1,001",34
"5,629",65
"1,043",52
711,28
"1,746",67
"1,259",82
"1,979",46
"1,193",63
"1,558",59
"1,150",53
"1,070",51
991,104
"2,681",100
"1,682",161
"5,142",162
"5,790",99
"2,989",111
"1,681",55
"5,790",99
"2,989",111
"1,681",55
"1,330",62
"1,621",197
754,48
"1,414",56
"1,368",60
985,36
"1,995",38
945,24
"1,162",48
833,13
859,11
"1,419",35
547,14
607,5
733,8
917,15
"1,268",41
"1,213",14
917,15
"1,268",41
"1,213",14
"1,322",26
"2,199",58
"1,613",18
"1,471",10
"1,133",23
"1,343",39
"2,783",46
"1,476",39
"1,067",30
"1,847",33
"2,841",56
"1,282",13
"1,646",23
"1,151",5
"1,566",7
"1,903",40
"4,398",23
"1,382",20
"1,903",40
"4,398",23
"1,382",20
"1,389",36
"1,434",22
"1,026",15
"2,829",58
"1,217",31
993,37
"1,130",28
"1,819",28
"2,053",129
"1,259",28
"2,080",40
"1,307",18
"1,427",15
"1,763",83
"1,300",8
"1,802",22
718,22
"2,539",53
"1,802",22
718,22
"2,539",53
"1,615",19
"1,383",17
"1,412",22
"1,244",20
"1,982",34
"3,685",65
"1,050",6
"1,012",5
"1,210",24
"1,457",20
"2,285",37
"1,169",14
"1,555",22
"1,188",16
"1,215",34
"2,017",45
823,43
"1,928",55
"2,017",45
823,43
"1,928",55
"1,044",9
"1,533",32
"1,378",29
