likes,comments
137k,"1,353"
250k,"3,039"
593k,"3,679"
516k,"3,796"
740k,"4,563"
1.3m,"3,866"
533k,"4,198"
711k,"1,867"
961k,"3,483"
513k,"4,154"
438k,"1,636"
336k,"2,725"
248k,"1,996"
864k,"2,192"
3.9m,"8,086"
838k,"9,239"
543k,"1,665"
436k,"3,296"
1.6m,"3,152"
474k,"3,205"
751k,"7,075"
910k,"3,178"
765k,"5,892"
1m,"3,245"
2.8m,"6,432"
1.3m,13.3k
2.1m,"2,120"
3.3m,"2,828"
663k,"6,616"
1.2m,"8,680"
3.3m,"2,828"
663k,"6,616"
1.2m,"8,680"
1m,10.5k
1m,"8,895"
666k,"6,684"
807k,"7,166"
734k,"6,329"
2.3m,"5,512"
1.4m,15.9k
279k,"1,610"
743k,"2,070"
1.4m,15.9k
279k,"1,610"
743k,"2,070"
1.1m,11k
196k,"1,506"
4.6m,"4,555"
635k,"5,864"
309k,"2,060"
556k,"4,215"
608k,"3,194"
792k,"7,247"
762k,"7,393"
295k,"1,977"
781k,"7,777"
455k,"3,615"
833k,"7,897"
707k,"4,445"
1m,10.3k
431k,"2,730"
614k,"4,341"
272k,"1,620"
431k,"2,730"
614k,"4,341"
272k,"1,620"
592k,"4,350"
655k,"5,501"
261k,"1,807"
421k,"2,730"
596k,"4,275"
998k,"7,269"
3m,"4,279"
267k,"2,270"
870k,"9,427"
900k,"8,190"
1.1m,12.2k
774k,"4,203"
1m,"4,155"
838k,"6,584"
753k,"7,382"
602k,"5,421"
1m,"8,128"
1.1m,13k
828k,"1,517"
1m,11.3k
491k,"3,552"
828k,"1,517"
1m,11.3k
491k,"3,552"
1.2m,"1,370"
1.1m,"1,700"
1m,"1,589"
304k,"2,243"
1m,"1,507"
1.1m,"3,049"
2m,"4,494"
153k,"1,294"
1.1m,"1,808"
384k,"1,423"
320k,"2,164"
98.5k,475
141k,411
108k,326
111k,494
403k,"1,330"
714k,"3,697"
111k,320
403k,"1,330"
714k,"3,697"
111k,320
177k,443
277k,811
107k,328
153k,430
298k,875
193k,"2,385"
200k,"2,085"
853k,"6,353"
958k,"7,962"
2.3m,"1,870"
856k,"7,357"
992k,"8,637"
929k,"7,786"
820k,"7,303"
1m,"2,028"
2.4m,"8,476"
937k,"8,624"
2.1m,"3,188"
2.4m,"8,476"
937k,"8,624"
2.1m,"3,188"
1.4m,13.2k
965k,"8,787"
115k,858
1.6m,"3,689"
606k,"3,971"
1.3m,"3,130"
767k,"7,285"
588k,"1,444"
842k,"2,634"
678k,"7,870"
472k,"4,241"
570k,"3,952"
841k,"5,665"
1.1m,"9,930"
602k,"4,839"
875k,"6,610"
627k,"4,757"
1m,10.1k
875k,"6,610"
627k,"4,757"
1m,10.1k
1.2m,"9,478"
1m,"5,798"
3.5m,"8,697"
526k,"4,221"
1m,"3,418"
780k,"8,048"
1m,10k
1.4m,13.5k
927k,"9,093"
1.5m,"4,333"
700k,"1,228"
884k,"8,163"
1.2m,15.6k
656k,"5,211"
1.1m,"9,036"
792k,"7,394"
3m,"2,578"
1.2m,18.3k
792k,"7,394"
3m,"2,578"
1.2m,18.3k
2m,"3,158"
719k,"1,713"
2.1m,"3,852"
2.1m,"4,284"
5.4m,12.8k
2.2m,"4,758"
2.1m,"5,943"
1.5m,"4,111"
716k,"5,935"
1m,"6,784"
621k,"2,895"
6.6m,"5,950"
2.8m,"4,543"
1.4m,"2,138"
752k,"6,447"
2.8m,"6,670"
845k,"7,893"
1.2m,15.5k
2.8m,"6,670"
845k,"7,893"
1.2m,15.5k
1.1m,"9,433"
757k,"4,633"
609k,"3,742"
825k,"2,182"
575k,"3,319"
879k,"1,790"
1m,"7,046"
2.9m,"6,539"
556k,"4,018"
647k,"4,942"
529k,"2,190"
643k,"4,156"
876k,"8,083"
918k,"7,911"
1m,12.6k
1.7m,"4,135"
1.2m,15.4k
1.2m,13.5k
1.7m,"4,135"
1.2m,15.4k
1.2m,13.5k
2.2m,"5,063"
925k,"9,316"
180k,"1,492"
935k,"9,097"
1.1m,12.3k
1.2m,"1,864"
731k,"2,681"
914k,"4,078"
1.1m,11k
2.2m,"5,233"
987k,"9,748"
1.8m,"2,469"
2m,"2,587"
2.9m,"8,161"
2m,"5,896"
780k,"1,858"
1.2m,14.4k
765k,"2,163"
780k,"1,858"
1.2m,14.4k
765k,"2,163"
3.6m,"5,119"
1.1m,"9,819"
1.2m,12.7k
1.3m,13.8k
1.1m,13.9k
964k,"1,712"
592k,"1,538"
846k,"1,550"
704k,"1,889"
1.5m,21.4k
1.2m,"2,840"
1m,10.9k
1.2m,15.6k
1.1m,12.4k
1.4m,33.3k
1m,12k
1.3m,"2,635"
1.2m,13.6k
656k,"1,499"
803k,"1,717"
640k,"1,741"
656k,"1,499"
803k,"1,717"
640k,"1,741"
568k,"1,966"
1m,"2,779"
1.4m,14.2k
4.6m,"7,611"
1.1m,13.9k
3.1m,"7,705"
988k,"8,095"
1.5m,27.8k
1.3m,19k
657k,"4,409"
1m,"8,296"
534k,"1,188"
946k,"9,736"
941k,13.9k
322k,"2,207"
2.7m,"6,048"
1.1m,10.6k
3.2m,"6,503"
2.7m,"6,048"
1.1m,10.6k
3.2m,"6,503"
241k,"1,625"
3.7m,11.7k
964k,"7,623"
3.8m,13.2k
1.5m,"3,473"
1.7m,32.4k
989k,10.6k
1.6m,25.8k
499k,"3,404"
772k,"5,909"
618k,"3,992"
3.7m,"7,913"
2.6m,"6,236"
244k,"1,787"
1.3m,13.1k
1.1m,"4,107"
1.2m,"2,799"
250k,"1,692"
1.1m,"4,107"
1.2m,"2,799"
250k,"1,692"
3.1m,"7,024"
734k,"5,176"
972k,"7,400"
565k,"3,705"
688k,"4,678"
342k,"5,950"
2.6m,"4,773"
1.1m,"2,109"
2.9m,"4,839"
1.8m,"3,762"
558k,"3,186"
589k,"3,831"
3.6m,"5,158"
4.7m,"3,308"
726k,"2,074"
553k,"3,364"
2.3m,"5,218"
510k,"3,837"
553k,"3,364"
2.3m,"5,218"
510k,"3,837"
642k,"3,477"
1m,"9,693"
726k,"2,932"
3.1m,"2,649"
444k,"2,617"
622k,"3,758"
3.1m,"3,355"
1.1m,"7,341"
480k,"2,095"
1.7m,24.4k
1.5m,"1,932"
2.5m,"4,023"
404k,"2,506"
3m,"2,274"
1m,"4,084"
973k,"4,557"
649k,"2,992"
504k,"1,908"
973k,"4,557"
649k,"2,992"
504k,"1,908"
794k,"9,393"
1.6m,38.5k
2.8m,"4,008"
1.1m,"1,898"
106k,601
481k,"3,068"
493k,"3,025"
683k,"4,335"
984k,"7,308"
511k,"2,705"
758k,"5,492"
748k,"5,337"
499k,"3,010"
480k,"2,724"
624k,"3,729"
5.3m,"5,695"
735k,"4,510"
3.7m,"7,117"
5.3m,"5,695"
735k,"4,510"
3.7m,"7,117"
1.1m,14.3k
2.5m,17.8k
708k,"5,751"
4.4m,"9,772"
1.1m,"9,180"
601k,"2,019"
3.4m,"5,498"
544k,"2,900"
1.3m,"3,342"
789k,"5,674"
1m,"9,002"
1.2m,12.9k
733k,"5,651"
628k,"4,364"
464k,"2,765"
1m,16.4k
618k,"4,106"
2m,"4,100"
1m,16.4k
618k,"4,106"
2m,"4,100"
611k,"1,205"
629k,"4,223"
2.2m,"4,782"
295k,990
642k,"6,337"
1.5m,"2,372"
1m,"9,116"
1m,"8,193"
676k,"4,125"
550k,"3,026"
988k,"1,520"
765k,"1,057"
409k,"2,389"
673k,"2,606"
1.2m,"2,264"
581k,"4,387"
940k,"4,922"
927k,"6,699"
256k,"1,262"
984k,"1,480"
614k,"3,845"
256k,"1,262"
984k,"1,480"
614k,"3,845"
1.4m,"1,858"
958k,"1,912"
517k,"3,564"
568k,"2,992"
799k,"1,396"
540k,"3,382"
962k,"1,456"
686k,"3,474"
1.9m,"3,631"
1.3m,"2,928"
971k,"2,789"
981k,"2,066"
660k,"3,723"
2.2m,"3,918"
1m,"2,559"
1.5m,"3,365"
2.4m,"3,916"
998k,"3,789"
1.5m,"3,365"
2.4m,"3,916"
998k,"3,789"
2m,"4,134"
511k,745
667k,"3,828"
543k,"3,321"
671k,"4,497"
224k,951
463k,"2,418"
332k,"1,697"
529k,"2,985"
350k,"1,638"
906k,"2,916"
464k,"2,024"
668k,"3,654"
407k,"2,116"
343k,"1,622"
1.7m,"1,982"
897k,"1,001"
1.6m,"1,797"
1.7m,"1,982"
897k,"1,001"
1.6m,"1,797"
530k,"2,954"
687k,"3,806"
628k,"1,982"
359k,"1,747"
419k,"1,835"
439k,"2,082"
533k,"2,385"
384k,"1,506"
642k,"3,426"
1.8m,"3,924"
391k,"1,891"
534k,"2,788"
280k,"1,265"
1.2m,10.3k
4.9m,13.7k
806k,"4,720"
2.2m,"1,067"
1.5m,"2,087"
806k,"4,720"
2.2m,"1,067"
1.5m,"2,087"
2.1m,"1,256"
1.5m,"1,784"
379k,"1,636"
1.3m,"1,038"
610k,"4,044"
1m,"6,251"
687k,"3,384"
524k,"2,741"
1.5m,"1,403"
228k,"1,014"
1.4m,"1,031"
2.9m,"7,901"
713k,611
222k,848
935k,"1,356"
1.7m,"3,530"
447k,"2,152"
367k,"1,550"
1.7m,"3,530"
447k,"2,152"
367k,"1,550"
542k,"2,461"
681k,734
792k,883
496k,"2,458"
699k,"3,285"
548k,"2,237"
663k,839
1.4m,"1,744"
786k,"4,509"
403k,"1,511"
546k,"2,136"
