likes,about_post,date,type,comments,tagged_names
478866.0," jacquelinef143 Verified Heyguys,Idecidedtodosomethingnewformyworkoutfamhere.Hadsomuchfunshootingthenewvideoin8Kwithmynew#GalaxyNote20Ultra5G(Ready)  #WFN–WorkfromNote ❤️ 18h",18 HOURS AGO,video,3649.0,  @#samsung samsungindia
1119270.0," jacquelinef143 Verified Thumkajohiladegasabkehosh!!!  Comejointhe#ThumkaLagaDuniyaHilachallengewithmeandwinuptoRs.25,00,000everyweek!Downloadthe#JoshAppandparticipate ❤️ 2d",2 DAYS AGO,video,8840.0,  @now! officialjoshapp
624682.0, jacquelinef143 Verified Workingoutand#WFN–WorkingfromNote❤️❤️ThetwothingsIlovedoingthesedays! Watchthisspacefor #GalaxyNote20Ultra5G(ready)#samsung 4d,4 DAYS AGO,post,3103.0,  @more! samsungindia
913325.0, jacquelinef143 Verified AllglammeduptocreatetheperfectMysticBronzelookinspiredbymynew#GalaxyNote20Ultra  I’mreadyto#WFN–WorkfromNote!!!Follow toknowmore⭐️⭐️  #GalaxyNote20Ultra5G  #Samsung 1w,7 DAYS AGO,post,4100.0,  @samsungindia
981810.0, jacquelinef143 Verified Iforgotshootlifewasthisfun!Gratefultobeback🌸       ,OCTOBER 12,post,2595.0,  @shaanmu @marcepedrozo @chandiniw @styledbystaceycardoz @shresh_mua @sahildasofficial @mahantitarunindia2017 1w
736947.0, jacquelinef143 Verified Myfirstfilm!Myfirstautograph!!I’llneverforgetwhatanamazingexperienceitwasshooting‘Aladin’withyousir!! HappyBirthdaysir❤️❤️❤️foreverLegend!! 1w,OCTOBER 11,post,2715.0,  @amitabhbachchan
306319.0, jacquelinef143 Verified Weareallmadeofstars⭐️⭐️ 1w,OCTOBER 10,post,7320.0, 
1147792.0, jacquelinef143 Verified Thesecretofyourfutureishiddeninyourdailyroutine🌈🌈 2w,OCTOBER 7,post,8502.0, 
1449164.0, jacquelinef143 Verified Strongisthenewpretty🧜🏻‍♀️ 2w,OCTOBER 1,post,2651.0, 
722958.0, jacquelinef143 Verified Can’twaitforthisone!!Somethingsuperfuncomingup!Alwayssogreatcatchingupwithyou andthankyou fortheamazingexperience!! ,SEPTEMBER 28,post,3690.0,  @monakattan @oola.lab @kayali 3w
978075.0, jacquelinef143 Verified 6.30AM🌈 4w,SEPTEMBER 22,post,1584.0, 
1096484.0," jacquelinef143 Verified There’snobetterwaytostartyourdaythanbydoingSuryaNamaskar!Canyoudo‘TheUltimateAsana’in38secondsorless?Joinmeinmydailydoseofpositivitybydoingthissimpleyeteffectiveasana! PractiseSuryaNamaskaranduploadavideo,withthehashtag#AreYouSolarPoweredandgetachancetowinmyBaby-Gathleisurewatch  Fewsimplerules:  DotheJackiemove&postyourvideoorGIForphotoonyourprofileandDMto or the or page Tagyour2friends or (orwewontknowyouposted) 4w",SEPTEMBER 18,video,11200.0,  @casio.india @babyg_in Follow @casio.india @babyg_in @casio.india @babyg_in
619231.0, jacquelinef143 Verified 🧜🏻‍♀️ 4w,SEPTEMBER 16,post,15700.0, 
1334124.0," jacquelinef143 Verified #Repost individuals,weneedtoreassesstheconceptofperfectionandbeauty.Today,moreandmorepeopleareembracingtheiroddities,it'swhatmakesthemmoreinteresting.It'stimetobefearless,""says Jacqueline:Pinstripedcroptop,embroideredjacket,shorts,allNamrataJoshipura golddroppendant,Dhora suedeboots,ChristianLouboutin SahilDas Director:PashamAlwani assistedbyGarvikaKhanna andOjasKolvankar andmake-up:ShaanMuttathil TanyaMehta Spice #JacquelineFernandez#CoverGirl#CoverStar#September2020 4w",SEPTEMBER 16,post,2874.0,"  @graziaindia ・・・ ""As @jacquelinef143.  On @(namratajoshipurastudio); @(dhora_india); @(louboutinworld)  Photograph: @(sahildasofficial) Fashion @(pashamalwani) @(garvika.khanna) @(ojaskolvankar) Hair @(shaanmu) Words: @(tanya.91) Agency: @(spicesocial)  #GraziaIndia"
1361857.0," jacquelinef143 Verified #Repost finallytakenthetimeouttoread,I’mcurrentlyhookedonto'TheFemaleBrain'byLouannBrizendine,whichwasrecommendedbyLisaHaydonwhenwewereshootingfor‘Housefull’fouryearsago,""says Jacqueline:Croptop,Deme stripedtrousers,Smokewear xLovebirds ‘ChunkyChain’hoopearrings,Misho belt,stylist’sown  Photograph:SahilDas Director:PashamAlwani assistedbyGarvikaKhanna andOjasKolvankar andmake-up:ShaanMuttathil TanyaMehta Spice #JacquelineFernandez#CoverGirl#CoverStar#September2020 5w",SEPTEMBER 15,post,2786.0,  @graziaindia ・・・ “I’ve @jacquelinef143.  On @(deme; @(smokelabofficial) @(lovebirds.studio); @(misho_designs); @(sahildasofficial) Fashion @(pashamalwani) @(garvika.khanna) @(ojaskolvankar) Hair @(shaanmu) Words: @(tanya.91) Agency: @(spicesocial)  #GraziaIndia
564374.0," jacquelinef143 Verified ❤️❤️#Repost eternaloptimist,JacquelineFernandez’ssunnyspiritisinfectious,evenifitisviaaphonecall!Thetalentedactortalksabouthowshe’snavigatingthisperiodofuncertaintyasshemapsoutherownsilverliningsplaybook.  JacquelineFernandez iswearingacamoprintjumpsuit,Dior goldplatedchainnecklaces,Misho SahilDas Director:PashamAlwani andmake-up:ShaanMuttathil TanyaMehta Spice #JacquelineFernandez#CoverGirl#CoverStar#September2020 5w",SEPTEMBER 14,post,2217.0,  @graziaindia ・・・ An @(jacquelinef143) @(dior); @(misho_designs)  Photograph: @(sahildasofficial) Fashion @(pashamalwani) Hair @(shaanmu) Words: @(tanya.91) Agency: @(spicesocial)  #GraziaIndia
981573.0, jacquelinef143 Verified Bestfriendsforever❤️❤️#mumsie 5w,SEPTEMBER 14,post,2114.0, 
581526.0, jacquelinef143 Verified WelcometoInsta youwereamazingin#aarya❤️❤️❤️ ,SEPTEMBER 12,post,2639.0,  @strictlyvikas @strictlyspkng 5w
1620264.0, jacquelinef143 Verified LifeasInowknowit..🌈🌈    (mybabiesareback☺️☺️) 6w,SEPTEMBER 4,post,10800.0,  @rahuljhangiani @shaanmu @amitthakur_hair @chandiniw
2082726.0, jacquelinef143 Verified Andoutcomethefreckles🌈🌻☀️🌼 7w,SEPTEMBER 2,post,3259.0, 
1063854.0, jacquelinef143 Verified Morning!!!❤️❤️❤️ 7w,AUGUST 31,video,5500.0, 
942760.0,  andIbelievethatallpetsdeservethebestwhenitcomestonutrition!SoIfeedYodaandMiumiu catfoodwhichtakescareoftheircompletenutritionalrequirement!  Allourfurryfriendsonthestreetsneedamealfullofrealnutrition..Droolswithit'sbenefitsof100%Realingredientsprovidesalltheessentialnutrientstokeepthemstrongandhealthy💪🏻  #Drools#DroolsIndia#BundleOfJoy#CatParent#FeedRealFeedClean#FeedDrools#PetParent#PetBond#PetNutrition#HealthyPetFood#PetCare#PetFood#WhatsGoodForYourPet#FurryFriends#PetFriendly 7w,AUGUST 26,video,2267.0,  @jacquelinef143 Verified droolsindia @DroolsIndia
1023620.0, jacquelinef143 Verified Superexcitedforthisonlineevent!!Thanksforgivingmethisopportunitytotalkaboutmyexperience!Loveyouguys!!AllthoseinterestedincreatingachangefromwithinI’llseeyouthere!!LINKIN ,AUGUST 25,video,3892.0,  @BIO narayanishurjo108 mumbaiananda anandasanghaindia 8w
462119.0, jacquelinef143 Verified BulletproofXYZA🌸 8w,AUGUST 24,post,5040.0, 
550988.0, jacquelinef143 Verified ThepeaceandjoythatLordGaneshbringstoourhomeseachyearisunparalleled!  WishingyouallaveryHappyGaneshChaturthi❤️❤️Lotsofloveandlight🌈  गणपतिबाप्पामोरिया।🙏 8w,AUGUST 22,post,2378.0, 
2307397.0, jacquelinef143 Verified Can’twait!Feelsgood😉🌈 ,AUGUST 21,post,7960.0,  @amandacerny 8w
1421673.0," jacquelinef143 Verified Here'salittlesneak-peekintomydailymorningroutine☕Theysaythewayyoustartyourdaydeterminestherestofit.IbeginminewithListerine!Justbrushingisn'tenough,myoralhygieneisonfleek,becauseIgetmywholemouthcleanwith #GoBeyondBrushing#DoTheSwish#ad 8w",AUGUST 20,video,3586.0,  @ListerineIndia!  #SwishDontMiss
1284008.0, jacquelinef143 Verified Rainorshine🌈 thanksforthepic! 8w,AUGUST 19,post,3383.0,  @manasiscott
385905.0," jacquelinef143 Verified Happytobeonboardandthankyouforallthatyoudo!!!❤️❤️❤️#Repost youJacquelineFernandezforyoursupportandwelcometothefamily!!Inthesetoughtimes,weneedtoacttogetherandhelpchangelives!#changinglives#inspiration#againsthunger 9w",AUGUST 18,post,3382.0,  @actionagainsthunger_india ・・・ Thank
1814186.0, jacquelinef143 Verified Myfavourite..Sapnajahan...#brothers  #karanmalhotra    ,AUGUST 14,video,4831.0,  @akshaykumar @sidmalhotra @sonunigamofficial @dharmamovies @ajayatulofficial @neetimohan18 9w
397694.0, jacquelinef143 Verified LIVEtoday!!💝💝 #mentalfitness#mentalhealth 10w,AUGUST 9,post,3383.0,  @vrindaofficial
487620.0, jacquelinef143 Verified HappyWorldCatday#meow 10w,AUGUST 8,post,3382.0, 
1029038.0, jacquelinef143 Verified Getashinyelegantlookwithafloraldressthatyouhavebeenlookingfor🌸🌸WearalittlethisWowthisEid#WearALittleWow#SplashFashions Shoponlineatwww.splashfashions.com🥰😍😘 11w,JULY 30,post,4831.0, 
2417086.0, jacquelinef143 Verified #dilbechara❤️ 12w,JULY 24,video,3578.0, 
740939.0, jacquelinef143 Verified Sunsetexplosion#home💜 12w,JULY 22,post,5654.0, 
612671.0, jacquelinef143 Verified Breakfastinbed#miumiu🌸 13w,JULY 20,post,4937.0, 
2960250.0," jacquelinef143 Verified EnjoyingPizzaHut’sMyBox,a3-coursemealwithmychilledPepsi!!AllsetfortheweekendSwag!🤘  ",JULY 18,video,13100.0,  @pepsiindia @pizzahut_india 13w
885488.0, jacquelinef143 Verified Thistimelastyear..Imissyoumymonitorfriend.. 13w,JULY 16,post,4350.0, 
2123553.0, jacquelinef143 Verified Ihavebeendealingwithsomemajoranxietythesepastfewweeks..howeverbeingconsistentwithyogahastaughtmethevaluablelessonofbeinginthemomentandwhat’sevenmoreimportant..gratitude..forlifeandbeingalive..haveagreatdayeveryone!Namaste🙏🏻 15w,JULY 8,video,10300.0, 
1748722.0, jacquelinef143 Verified #dilbechara💔 15w,JULY 6,video,3770.0, 
1677072.0, jacquelinef143 Verified MonsoonSunday🦄 15w,JULY 5,post,3600.0, 
989125.0, jacquelinef143 Verified WhenLokidecidestobepartofmyonlinemeditationclass!Thanks  forthegreatsession!Socalming💜💜💜 15w,JULY 2,post,11000.0,  @narayanishurjo108 @mumbaiananda
