likes,about_post,date,type,comments,tagged_names
1390138.0, kiaraaliaadvani Verified 📸   ,4 DAYS AGO,post,6026.0,  @avigowariker @makeupbylekha @bbhiral 4d
612829.0," kiaraaliaadvani Verified KeepyourRemote,Popcorn🍿Nachos,🥤Cushionsandblanketsreadyas#LaxmmiBomb💥iscomingtoyourhomesoon.WatchFirstDayFirstShowkihomedeliverywith#DisneyPlusHotstarMultiplexonlyon         #CapeOfGoodFilms#ShabinaaEntertainment#TussharEntertainmentHouse ",4 DAYS AGO,video,797.0,  @disneyplushotstarvip @#FoxStarStudios  akshaykumar @aliaabhatt @rohitsharma45 @yuvisofficial @khemster2  offl_lawrence @shabskofficial @tusshark89 @foxstarhindi @zeemusiccompany 4d
2284774.0, kiaraaliaadvani Verified Let’sShoot!backonSet!#WorkMode🎬💥 6d,6 DAYS AGO,video,3620.0, 
1825118.0, kiaraaliaadvani Verified Everything’sbetterwhenyoursisteriswithyou🌻 2w,SEPTEMBER 20,post,6321.0, 
1171622.0," kiaraaliaadvani Verified #MomentsStyledByMyntraInallyourspecialmoments-beitwiththefamily,byyourselforevenwithyourBFF-you’llnoticethatstyleisalwaysbyyourside.Goonandwatchthissweetandstylishstory,andshareyourstoryofsuchspecialmomentsinthecommentsbelow.Foryourownmomentsstyledby downloadtheappnow. #KiaraAdvaniStyledByMyntra#MyMyntraMoments#momentsstyledbymyntra 2w",SEPTEMBER 18,video,826.0,"  @Myntra,"
1372038.0, kiaraaliaadvani Verified Youtubemeinlaggayiaag..dilmera💥🤗💥🤗💥🤗💥🤗 2w,SEPTEMBER 17,video,1652.0, 
733542.0," kiaraaliaadvani Verified IssDiwaliaapsabkegharonmeinlaxmmihilaxmmihogi!  Aarahehaihum,Diwalikasabsebadabombleke9thNovemberkoonlyon 💥     #CapeOfGoodFilms#ShabinaaEntertainment#TussharEntertainmentHouse ",SEPTEMBER 16,video,1232.0,  @disneyplushotstarvip! #YehDiwaliLaxmmiBombWaali @#DisneyPlusHotstarMultiplex  akshaykumar @offl_lawrence @shabskofficial @tusshark89 @foxstarhindi @zeemusiccompany 2w
1975529.0, kiaraaliaadvani Verified येहैंIndooहसीनापागलदीवानी💃🏻🙏🏼🤗🥰#IndooKiJawani#HasinaPagalDeewani songoutnow!! linkinbio          #BhushanKumar #KrishanKumar      ,SEPTEMBER 16,video,2886.0,  @💥  adityaseal @mallikadua @abirsenguptaa @mikasingh @shabbir_ahmed9 @aseeskaurmusic @iamkrutimahesh @onlyemmay @madhubhojwani @nikkhiladvani @divyakhoslakumar @ashesinwind @ryanivanstephen @tseriesfilms @tseries.official @emmayentertainment @electricapplese 2w
1084717.0," kiaraaliaadvani Verified KaltohbyGodmazaahiaajaayenga!🤩Youknowwhatitis,right?Agarnahipatatohwaitkaro!!Basyesamajhlokiek#HasinaPagalDeewanihonewaalihai.          #BhushanKumar #KrishanKumar      ",SEPTEMBER 15,video,1322.0,  @🙈  adityaseal @mallikadua @abirsenguptaa @mikasingh @shabbir_ahmed9 @aseeskaurmusic @iamkrutimahesh @onlyemmay @madhubhojwani @nikkhiladvani @divyakhoslakumar @ashesinwind @ryanivanstephen @tseriesfilms @tseries.official @emmayentertainment @electricapplese 3w
2127314.0," kiaraaliaadvani Verified Maintohtimeseaajaungi,datekeliyeaaplatemathona!😉WaitjustalittlemoretomeetIndoo!      #BhushanKumar #KrishanKumar      ",SEPTEMBER 14,video,2332.0,  @#IndooKiJawani adityaseal @mallikadua @abirsenguptaa @onlyemmay @madhubhojwani @nikkhiladvani @divyakhoslakumar @ashesinwind @ryanivanstephen @tseriesfilms @tseries.official @emmayentertainment @electricapplese 3w
